source,target,p-value,model
Tcf12,Hmg20a,0.0,-1
Pias4,2410002I01Rik,0.0,-1
Pias4,Trappc9,0.0,-1
Mafg,Ptgr1,0.0,-1
Csde1,Mpnd,0.0,-1
Hmg20a,Tcf12,0.0,-1
Rfx1,Wipf2,0.0,-1
Pbx2,Taf8,0.0,-1
E4f1,Zfyve27,0.0,-1
Arid5b,Rnf169,0.0,-1
Churc1,Plscr3,0.0,-1
Taf8,Pbx2,0.0,-1
Olig1,Acsm5,7.624170978409374e-290,1
Snai2,Nid1,1.3359453756203975e-198,-1
Sp2,Fahd2a,1.3295678016684786e-195,-1
Chd8,Aldoc,3.4112269042637444e-141,-1
Onecut1,Gcgr,5.019237257431081e-126,-1
Gzf1,Hacl1,5.351650113317444e-78,-1
Mlxipl,Tob1,1.7117262601168486e-66,-1
Olig1,Ttc39c,2.684397586323923e-63,1
Rxrg,Inca1,1.973631820972846e-55,-1
Onecut1,Sds,6.293423033658154e-53,-1
Olig1,Agxt,5.195859085938122e-49,1
Olig1,Inhbe,5.5436658980315504e-49,1
Onecut1,Gm4788,9.422948713171991e-47,-1
Olig1,Slc17a1,4.2147592590274304e-46,1
Pias2,Pitrm1,3.0305035470519136e-45,-1
Onecut1,C8g,1.4174855912890034e-43,-1
Trim33,Cluap1,1.1227080733542166e-42,-1
Mlxipl,Adh1,8.756381722732029e-42,-1
Gmeb2,Fam54b,3.554141925768101e-41,1
Olig1,Slc10a1,3.381592207950853e-40,1
Olig1,Saa4,2.064361015879829e-37,1
Olig1,C9,6.494411445952323e-37,1
Onecut1,Mup10,7.073320127618972e-34,-1
Onecut1,0610012H03Rik,1.3401663628854742e-33,-1
Phb,Ptges2,2.771388165362049e-33,1
Ptges2,Phb,2.771388165362049e-33,1
Gatad2b,Myst3,2.780481389112968e-33,1
Mtf1,Mta3,2.780481389112968e-33,1
Myst3,Gatad2b,2.780481389112968e-33,1
Zfp276,Irf3,2.780481389112968e-33,1
Irf3,Zfp276,2.780481389112968e-33,1
Mta3,Mtf1,2.780481389112968e-33,1
Olig1,Serpinf2,1.2048740370576821e-32,1
Grlf1,Amotl2,1.9171960406261647e-32,-1
Olig1,Tmprss6,9.99073651429383e-32,1
Deaf1,Nomo1,3.7072528542525733e-31,-1
Olig1,Mmd2,4.341822407407829e-31,1
Olig1,Gcgr,1.3507853483514276e-30,1
Olig1,5830473C10Rik,2.2173272403174133e-30,1
Olig1,Itih1,7.041789979099172e-30,1
Olig1,1300017J02Rik,1.0732066983460535e-29,1
Prox1,Mup10,1.0936931125833903e-29,-1
Olig1,Aqp9,2.638044831721137e-29,1
Olig1,Akr1c20,3.371433306259658e-29,1
Snai2,Vangl1,6.37553786447092e-29,-1
Zfp161,Fkbp9,8.570312993088822e-29,-1
Gzf1,Sucnr1,1.6734934870777882e-28,-1
Onecut1,Nlrp12,1.7916226866936152e-28,-1
Olig1,F2,6.452361827657763e-28,1
Olig1,Slco1a4,5.53595742749651e-27,1
Olig1,Slc27a5,5.7923877065804535e-27,1
Olig1,Cml2,1.0716368513876746e-26,1
Olig1,Aspdh,4.677957176675227e-26,1
Yap1,Nid1,1.5307064772995898e-25,-1
Olig1,Cfhr2,2.1196874717906728e-24,1
Mlxipl,Rbmxl1,3.778270272664967e-24,1
Onecut1,Gfra1,8.027299947838992e-24,-1
