GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
0610031J06Rik,-0.5530169,-0.030791627,-0.52275133,0.6094799,0.39282194,-0.17200945,-0.18431908,-0.09415653,0.113264576,-0.26695126,-0.08319624,-0.11606351,-0.08319624,-0.11606351,0.113264576,-0.26695126,0.0077613033,-0.25026745,-0.3613353,-0.034890547
A930001N09Rik,0.17039515,-0.18868886,0.25264573,-0.3902692,0.21080492,0.37367812,0.34966984,-0.123667605,0.42478156,-0.37534496,-0.01587319,0.44642672,0.17158327,-0.051550124,0.41815752,-0.36199728,-0.43755016,0.22403292,-0.43755016,0.22403292
Abt1,-0.68081117,0.28909394,-0.61404514,0.33225754,-0.40510872,0.21123417,-0.6090506,0.4401546,-0.68081117,0.28909394,-0.6090506,0.4401546,-0.6090506,0.4401546,-0.6090506,0.4401546,-0.72965854,0.3038389,-0.72965854,0.3038389
Adar,0.033420794,-0.14416836,0.11929749,-0.31877995,-0.117672876,-0.25200415,0.1566412,-0.04693217,-0.102069095,-0.13720623,-0.15736742,-0.07759889,-0.13535509,-0.10845305,-0.14887702,-0.07934378,0.12795103,-0.09989118,-0.025851537,0.028645812
Adnp2,-0.6149701,0.10820283,-0.7329729,-0.17204806,-0.3970735,-0.3558884,0.01669452,-0.14140588,-0.14808342,0.004904284,-0.3722425,-0.29036188,-0.09346117,-0.037385736,-0.04759958,0.05156821,-0.49026775,0.25028747,-0.42633873,0.076329015
Aebp2,-0.2301292,-0.49740568,-0.40435928,-0.5410396,0.0071893986,-0.3359101,0.23998392,-0.54524714,0.15118927,-0.32570228,0.24505918,-0.44513458,0.19859163,-0.37808037,0.20190673,-0.3977884,0.19720863,-0.39460248,0.2668714,-0.48283625
Ahctf1,-0.6384188,0.1633044,-0.56005156,-0.19398986,-0.48096097,-0.009637506,0.15138027,-0.30192718,0.2821832,-0.5169499,-0.1898497,-0.21021147,0.053345185,-0.35365874,0.19578233,-0.43804777,-0.042810958,-0.38473555,0.110413015,-0.09148844
Ahr,0.09377058,0.3609732,0.05959641,-0.81825686,0.0058902837,0.15534739,-0.1678926,-0.11877359,-0.43578228,-0.095231116,0.05177114,-0.32361966,0.17363381,-0.58282506,0.07126178,-0.15062763,0.21753961,-0.6533962,0.18047448,0.12156629
Apex1,-0.52134967,0.18999535,-0.8135884,0.11379113,-0.47686702,0.54102165,-0.21400215,0.22954099,-0.4893521,0.2669309,-0.52240586,0.4032314,-0.5974345,0.75578266,-0.4728123,0.2976456,-0.35787833,-0.3045604,-0.5461244,0.0567877
App,0.42089307,-0.0643417,0.42089307,-0.0643417,0.42089307,-0.0643417,0.42089307,-0.0643417,0.42089307,-0.0643417,-0.36757624,0.20280598,-0.36757624,0.20280598,-0.36757624,0.20280598,-0.36757624,0.20280598,0.42089307,-0.0643417
Arid1a,-0.4142366,-0.4518598,-0.21768971,-0.71417314,0.18594782,-0.3020666,0.0826686,-0.14214061,-0.5041607,-0.32899195,-0.050733987,-0.0775436,0.1151824,-0.39137515,0.19333602,-0.47895244,-0.2947455,-0.4874656,-0.41976935,-0.44574752
Arid4b,-0.33382428,-0.31822944,-0.8391353,-0.43250746,0.070248365,-0.72551477,0.2521941,-0.60694766,0.42315584,-0.7154139,-0.7673608,-0.40898195,0.23867466,-0.4660059,0.36246753,-0.4469759,0.32880628,-0.14909089,0.39623448,-0.19880937
Arid5b,0.24153987,0.35512957,0.24153987,0.35512957,0.24153987,0.35512957,0.24153987,0.35512957,0.24153987,0.35512957,0.24153987,0.35512957,0.24153987,0.35512957,0.24153987,0.35512957,0.24153987,0.35512957,0.24153987,0.35512957
Arnt,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421
Ash1l,-0.45237508,-0.42397487,0.21610196,-0.40768224,-0.47942287,-0.114417784,0.17129922,0.11379207,0.30385843,-0.24492688,-0.22894771,-0.29315442,0.12615657,-0.42199004,0.09121311,-0.4196634,0.34560537,-0.20640236,0.34766936,-0.3052736
Ash2l,-0.07091528,0.09559492,0.014452968,-0.21974234,-0.0011082366,-0.17324722,-0.5436611,0.12618612,-0.24444465,0.0684661,-0.10166645,-0.28793365,-0.32863504,-0.024888711,-0.25465193,0.080273755,-0.059855174,0.076678716,-0.059855174,0.076678716
Atf1,-0.15138306,-0.31935564,-0.12357965,-0.25680354,-0.10550727,-0.28602314,0.09615761,-0.4422671,-0.1403927,0.02354622,-0.014935046,-0.5173795,-0.24879651,0.103262275,-0.048471365,-0.09134711,-0.12717748,0.02419406,-0.23051237,-0.07137368
Atf2,-0.13197218,-0.2359767,-0.022451933,-0.3680202,-0.014747988,-0.4464716,-0.26430678,0.18269409,0.107316285,-0.39320293,-0.21668436,-0.23796591,-0.2526825,0.03006108,-0.26430678,0.18269409,-0.25009364,0.2994211,-0.25011468,0.30296108
Atf3,0.27610335,0.89966536,0.01631194,-0.292419,0.07148607,0.055611357,0.07524182,0.12803948,0.16146779,0.44989684,0.13930343,-0.062626876,0.29014695,-0.5137221,0.21390827,-0.280289,0.16146779,0.44989684,0.16146779,0.44989684
Atf4,0.35793877,-0.09392593,0.35793877,-0.09392593,0.35793877,-0.09392593,0.35793877,-0.09392593,0.35793877,-0.09392593,0.35793877,-0.09392593,0.35793877,-0.09392593,-0.30591738,0.15295489,0.35793877,-0.09392593,0.35793877,-0.09392593
Atf5,1.2023239,-0.00313338,0.26727337,-0.3674533,-0.54743695,0.5199672,0.8971973,0.013291757,0.89267725,0.09437646,-0.068528906,0.11967764,0.35226977,0.05510934,1.1828394,-0.08553492,1.1853861,-0.029721165,-0.16989024,0.110617064
Atf6b,-0.4860155,-0.104965925,-0.15002906,-0.6111743,-0.029588725,-0.5205964,0.023287706,-0.6498733,-0.049478564,-0.55876416,-0.36543316,-0.1128167,0.23082161,-0.57174665,-0.020352054,-0.5634464,-0.13133882,-0.57219565,-0.15228274,-0.58173764
Atf7,0.076312564,0.18253633,0.076312564,0.18253633,0.076312564,0.18253633,0.076312564,0.18253633,0.076312564,0.18253633,0.076312564,0.18253633,0.076312564,0.18253633,-0.12789747,0.4172068,-0.022091731,0.123140566,-0.022091731,0.123140566
Atoh8,-0.13050227,0.16962582,0.07943537,-0.19882515,-0.22628047,0.11796999,-0.048393857,-0.13260004,-0.25249872,0.20225874,-0.4187009,0.11717711,-0.38956892,0.09749708,-0.0028271675,-0.14337587,-0.18498106,0.21987292,-0.2165056,0.2315628
