pathway,nums,percent,pvalue
Fat digestion and absorption,43,0.16279069767441862,0.0
Parkinson's disease,144,0.2222222222222222,0.0
Cholesterol metabolism,50,0.2,0.0
Oxidative phosphorylation,151,0.16556291390728478,0.001
Retinol metabolism,97,0.21649484536082475,0.001
PPAR signaling pathway,90,0.23333333333333334,0.003
Metabolic pathways,1315,0.4570342205323194,0.004
Retrograde endocannabinoid signaling,150,0.22666666666666666,0.004
Alzheimer's disease,175,0.29714285714285715,0.005
Diabetic cardiomyopathy,211,0.24170616113744076,0.005
Autophagy - other,32,0.40625,0.006
Autophagy - animal,167,0.2634730538922156,0.008
Huntington's disease,194,0.25773195876288657,0.008
Biosynthesis of amino acids,84,0.17857142857142858,0.009
Non-alcoholic fatty liver disease (NAFLD),151,0.24503311258278146,0.009
Thermogenesis,231,0.16883116883116883,0.01
Non-alcoholic fatty liver disease,156,0.25,0.01
Peroxisome,87,0.22988505747126436,0.015
Carbohydrate digestion and absorption,49,0.1836734693877551,0.019
Cytokine-cytokine receptor interaction,326,0.07668711656441718,0.021
Bile secretion,100,0.13,0.024
Biosynthesis of cofactors,152,0.506578947368421,0.025
Motor proteins,196,0.07142857142857142,0.027
ECM-receptor interaction,89,0.12359550561797752,0.028
Mitophagy - animal,68,0.20588235294117646,0.028
Steroid hormone biosynthesis,96,0.16666666666666666,0.029
Tight junction,179,0.5307262569832403,0.029
Phenylalanine metabolism,24,0.20833333333333334,0.03
Butanoate metabolism,28,0.14285714285714285,0.032
Drug metabolism - other enzymes,92,0.18478260869565216,0.033
Epstein-Barr virus infection,230,0.05652173913043478,0.034
Coronavirus disease - COVID-19,249,0.5341365461847389,0.035
Parkinson disease,264,0.2159090909090909,0.035
Dorso-ventral axis formation,26,0.11538461538461539,0.037
Chemical carcinogenesis - reactive oxygen species,223,0.2556053811659193,0.037
Osteoclast differentiation,140,0.12142857142857143,0.04
Glutathione metabolism,74,0.22972972972972974,0.042
Linoleic acid metabolism,50,0.2,0.047
Pentose and glucuronate interconversions,37,0.13513513513513514,0.047
Th1 and Th2 cell differentiation,89,0.0898876404494382,0.048
Vitamin digestion and absorption,24,0.125,0.051
Glycerolipid metabolism,64,0.046875,0.052
Herpes simplex virus 1 infection,458,0.29694323144104806,0.052
Ras signaling pathway,242,0.24793388429752067,0.053
Glucuronate pathway (uronate pathway),26,0.19230769230769232,0.057
JAK-STAT signaling pathway,171,0.19298245614035087,0.063
Lipid and atherosclerosis,216,0.12037037037037036,0.063
Citrate cycle (TCA cycle),32,0.125,0.065
MicroRNAs in cancer,303,0.1254125412541254,0.066
Prion disease,267,0.18726591760299627,0.069
Chemical carcinogenesis - DNA adducts,84,0.20238095238095238,0.071
Protein export,31,0.0967741935483871,0.072
Pyrimidine metabolism,107,0.5700934579439252,0.076
Melanoma,72,0.125,0.076
Inflammatory bowel disease,62,0.06451612903225806,0.076
Apoptosis,137,0.27007299270072993,0.082
Nitrogen metabolism,17,0.17647058823529413,0.082
Arginine and proline metabolism,57,0.17543859649122806,0.085
Jak-STAT signaling pathway,159,0.20754716981132076,0.087
Lysine degradation,67,0.208955223880597,0.088
Polycomb repressive complex,84,0.3333333333333333,0.088
Taurine and hypotaurine metabolism,22,0.13636363636363635,0.09
Pathways of neurodegeneration - multiple diseases,471,0.15286624203821655,0.09
"Valine, leucine and isoleucine degradation",57,0.05263157894736842,0.098
Leukocyte transendothelial migration,121,0.36363636363636365,0.101
Inflammatory bowel disease (IBD),59,0.06779661016949153,0.105
Sphingolipid signaling pathway,127,0.12598425196850394,0.108
Hippo signaling pathway -multiple species,26,0.11538461538461539,0.114
T cell receptor signaling pathway,125,0.048,0.115
Hippo signaling,15,0.2,0.117
Origin recognition complex,6,0.5,0.118
Protein processing in endoplasmic reticulum,183,0.01639344262295082,0.125
TNF signaling pathway,115,0.20869565217391303,0.125
Arachidonic acid metabolism,95,0.21052631578947367,0.127
Nucleotide metabolism,84,0.40476190476190477,0.129
