pathway,nums,percent,pvalue
Tight junction,179,0.3575418994413408,0.112
Salmonella infection,253,0.17786561264822134,0.119
Motor proteins,196,0.12244897959183673,0.128
PI3K-Akt signaling pathway,373,0.26005361930294907,0.157
Endocytosis,297,0.16161616161616163,0.173
Purine metabolism,185,0.3027027027027027,0.204
Nucleotide metabolism,84,0.34523809523809523,0.225
"Valine, leucine and isoleucine degradation",57,0.3157894736842105,0.254
mmuK signaling pathway,301,0.10631229235880399,0.262
Viral carcinogenesis,228,0.09210526315789473,0.274
Human papillomavirus infection,361,0.12188365650969529,0.3
Apoptosis,137,0.1678832116788321,0.307
Amyotrophic lateral sclerosis,369,0.15176151761517614,0.32
Human T-cell leukemia virus 1 infection,249,0.10441767068273092,0.321
Lipid and atherosclerosis,216,0.27314814814814814,0.326
Proteoglycans in cancer,205,0.08780487804878048,0.331
Pyrimidine metabolism,107,0.308411214953271,0.336
Ubiquitin mediated proteolysis,151,0.09271523178807947,0.368
Prostate cancer,99,0.15151515151515152,0.378
Pathways in cancer,543,0.141804788213628,0.389
Steroid hormone biosynthesis,96,0.4479166666666667,0.403
MicroRNAs in cancer,303,0.056105610561056105,0.405
Protein digestion and absorption,110,0.05454545454545454,0.44
Regulation of actin cytoskeleton,239,0.1506276150627615,0.45
Phagosome,192,0.078125,0.452
TNF signaling pathway,115,0.1826086956521739,0.454
Thiamine metabolism,15,0.2,0.461
Necroptosis,175,0.022857142857142857,0.464
Axon guidance,183,0.13114754098360656,0.471
Insulin signaling pathway,143,0.32167832167832167,0.473
Prolactin signaling pathway,74,0.21621621621621623,0.478
Dopaminergic synapse,138,0.1956521739130435,0.482
Adrenergic signaling in cardiomyocytes,156,0.07051282051282051,0.489
Taurine and hypotaurine metabolism,22,0.2727272727272727,0.49
Hepatitis C,166,0.1746987951807229,0.49
Ubiquinone and other terpenoid-quinone biosynthesis,11,0.2727272727272727,0.498
T cell receptor signaling pathway,125,0.104,0.506
Estrogen signaling pathway,134,0.05223880597014925,0.51
Vasopressin-regulated water reabsorption,44,0.1590909090909091,0.514
Jak-STAT signaling pathway,159,0.06289308176100629,0.516
Ferroptosis,42,0.23809523809523808,0.523
Ovarian steroidogenesis,65,0.24615384615384617,0.523
Chemical carcinogenesis - receptor activation,225,0.3333333333333333,0.524
Choline metabolism in cancer,98,0.24489795918367346,0.525
FoxO signaling pathway,133,0.2556390977443609,0.537
"Glycolysis, core module involving three-carbon compounds",13,0.23076923076923078,0.54
Bacterial invasion of epithelial cells,76,0.13157894736842105,0.541
Alcoholism,205,0.11707317073170732,0.543
JAK-STAT signaling pathway,171,0.05263157894736842,0.547
AMPK signaling pathway,128,0.28125,0.551
Cell adhesion molecules,182,0.06043956043956044,0.553
Insulin resistance,110,0.34545454545454546,0.56
Hippo signaling pathway,158,0.08860759493670886,0.569
Relaxin signaling pathway,129,0.10077519379844961,0.57
Transcriptional misregulation in cancer,224,0.11607142857142858,0.57
Leukocyte transendothelial migration,121,0.1322314049586777,0.574
Alzheimer disease,383,0.21409921671018275,0.58
