term,,,adj_p_value
Metabolic pathways,,,4.211566870460189e-36
"Ribosome, eukaryotes",,,4.7930108849332525e-23
Carbon metabolism,,,1.4580553330929188e-19
Coronavirus disease - COVID-19,,,1.7497954307466277e-17
Ribosome,,,1.705249533132492e-14
Parkinson's disease,,,5.4653909878439635e-14
Complement and coagulation cascades,,,6.116387586697948e-14
Cell cycle,,,6.654890453804054e-14
Oxidative phosphorylation,,,1.6215484368342768e-13
Peroxisome,,,3.454614726100629e-13
Fatty acid degradation,,,6.606163945779588e-13
Huntington's disease,,,9.386054094448734e-12
Alzheimer's disease,,,2.9058342035762802e-11
"Glycine, serine and threonine metabolism",,,2.9058342035762802e-11
DNA replication,,,8.072715263007406e-11
Prion disease,,,1.367245679482658e-10
Amyotrophic lateral sclerosis,,,1.4596199738667112e-10
Parkinson disease,,,1.4596199738667112e-10
Chemical carcinogenesis - reactive oxygen species,,,2.1759246868251008e-10
Cytochrome bc1 complex,,,2.423799856260692e-10
Non-alcoholic fatty liver disease (NAFLD),,,2.7611135152925296e-10
Non-alcoholic fatty liver disease,,,5.168374150731051e-10
Polycomb repressive complex,,,5.861921075760334e-10
Pyruvate metabolism,,,1.387195961962023e-09
Diabetic cardiomyopathy,,,1.4097051702205357e-09
Fatty acid metabolism,,,1.6387176313799861e-09
"Valine, leucine and isoleucine degradation",,,3.238658896687163e-09
Basal transcription factors,,,2.4973588281738805e-08
Thermogenesis,,,4.3158335888227e-08
Nucleocytoplasmic transport,,,7.736332586823211e-08
Chemical carcinogenesis - DNA adducts,,,7.802179700485036e-08
Citrate cycle (TCA cycle),,,8.860526972107108e-08
Cholesterol metabolism,,,1.6226987873405354e-07
Tryptophan metabolism,,,1.8839400349397934e-07
Proteasome,,,2.1081749456396745e-07
Huntington disease,,,2.8974829755767323e-07
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",,,3.472292426205447e-07
Retinol metabolism,,,4.921167124397539e-07
Biosynthesis of amino acids,,,5.091641636238684e-07
Drug metabolism - cytochrome P450,,,5.588525681872891e-07
Pathways of neurodegeneration - multiple diseases,,,6.549112519155904e-07
"Citrate cycle (TCA cycle, Krebs cycle)",,,7.902396116994186e-07
Metabolism of xenobiotics by cytochrome P450,,,8.717711081331142e-07
Glyoxylate and dicarboxylate metabolism,,,1.0614520169011117e-06
Alzheimer disease,,,1.168698615340555e-06
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",,,1.1693388377941081e-06
Neutrophil extracellular trap formation,,,1.3309169587902211e-06
Mismatch repair,,,1.4435421199129165e-06
Pyrimidine metabolism,,,1.4999450344585795e-06
2-Oxocarboxylic acid metabolism,,,1.787759065079585e-06
Thyroid hormone signaling pathway,,,1.8618597156686362e-06
Steroid hormone biosynthesis,,,2.32782848331621e-06
Urea cycle,,,2.955668642168504e-06
Nuclear pore complex,,,5.787153128526569e-06
Cysteine and methionine metabolism,,,6.296785426750346e-06
Spliceosome,,,1.2259471137533814e-05
Nucleotide excision repair,,,1.4641166758286917e-05
Propanoate metabolism,,,2.1380227218402403e-05
RNA transport,,,2.245252778105826e-05
mRNA surveillance pathway,,,2.245252778105826e-05
ATP-dependent chromatin remodeling,,,2.2866011177589396e-05
Adherens junction,,,2.2866011177589396e-05
Colorectal cancer,,,2.2866011177589396e-05
Immunoproteasome,,,2.3073302944276823e-05
Ubiquitin mediated proteolysis,,,2.4072407118322682e-05
MCM complex,,,2.6525017393921882e-05
Biosynthesis of cofactors,,,2.7214303102396783e-05
Platelet activation,,,3.0248499881330827e-05
Biosynthesis of unsaturated fatty acids,,,3.157161889802762e-05
Hippo signaling pathway,,,3.240749844830615e-05
"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA",,,4.310490793905074e-05
Histidine metabolism,,,5.310789859114502e-05
Lipoic acid metabolism,,,5.383243982167316e-05
"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",,,5.383243982167316e-05
Pathways in cancer,,,6.789195270671756e-05
Arginine biosynthesis,,,7.133710816496413e-05
"Alanine, aspartate and glutamate metabolism",,,7.599690086844172e-05
Ascorbate and aldarate metabolism,,,9.536806475185249e-05
Bile secretion,,,9.536806475185249e-05
beta-Oxidation,,,9.536806475185249e-05
PPAR signaling pathway,,,0.00010887189377426019
Cardiac muscle contraction,,,0.00012920134701833828
"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate",,,0.0001371742287212798
"Ascorbate biosynthesis, animals, glucose-1P => ascorbate",,,0.00019737566113919898
Holo-TFIIH complex,,,0.00019883162643268834
Base excision repair,,,0.00023715704114808116
Herpes simplex virus 1 infection,,,0.0002445909351838133
beta-Alanine metabolism,,,0.00029463417615866773
"F-type ATPase, eukaryotes",,,0.00038113449000892096
Lysine degradation,,,0.000414536854927934
Succinate dehydrogenase (ubiquinone),,,0.00042876378104178477
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",,,0.0004599753195904976
"Proteasome, 19S regulatory particle (PA700)",,,0.0004599753195904976
Butanoate metabolism,,,0.00046242022846197553
Autophagy - animal,,,0.0004912000928826441
Tyrosine metabolism,,,0.0005318924840139502
Glycolysis / Gluconeogenesis,,,0.0005585928588106543
"Tyrosine degradation, tyrosine => homogentisate",,,0.0005918869609784397
Ferroptosis,,,0.0006213505016179569
Cytochrome c oxidase,,,0.00079470829010099
Mitophagy - animal,,,0.0008115191821461053
Glutathione metabolism,,,0.0008235304046889265
Linoleic acid metabolism,,,0.000826992112282329
Pantothenate and CoA biosynthesis,,,0.0008713620091693203
Drug metabolism - other enzymes,,,0.0009129747674891387
Longevity regulating pathway,,,0.0009341261181440696
Origin recognition complex,,,0.001015416220067661
BRCA1-associated genome surveillance complex (BASC),,,0.0010329623863980604
Tight junction,,,0.0010329623863980604
RNA degradation,,,0.0011543847932985107
"Spliceosome, U2-snRNP",,,0.0011708087368005192
"Spliceosome, U1-snRNP",,,0.0011708087368005192
Fat digestion and absorption,,,0.0012048915503291417
Hepatocellular carcinoma,,,0.0012282026876658282
TGF-beta signaling pathway,,,0.0012282026876658282
Sphingolipid signaling pathway,,,0.0014696004905696719
