tf,p-value
Nr0b2,0.0
Sod2,0.0
Tcf7l1,0.0
Olig1,0.0
Prox1,0.0
Trim33,0.0
Onecut2,0.0
Bdp1,0.0
Thoc1,0.0
Rxrg,0.0
Smad4,0.0
Nr1h4,0.0
Onecut1,0.0
Gzf1,0.0002
Zfml,0.0011
Nr1i3,0.0015
Hlf,0.0029
Snai2,0.005
Zfp518a,0.0084
Hnf4a,0.009
Fubp1,0.0154
Esr1,0.0223
Sall1,0.0231
Hnrpdl,0.0238
Zfp654,0.0256
Tbx3,0.0272
Mll3,0.0306
A930001N09Rik,0.0321
Nr1i2,0.0334
Arid1a,0.0408
Rb1,0.0455
Taf12,0.0476
Hmgn5,0.0551
Gata4,0.0576
Zfp148,0.0581
Klf6,0.0738
Mysm1,0.0832
Csda,0.089
Creb3l3,0.0961
Hnrnpd,0.0974
Yap1,0.1065
Zkscan14,0.1106
Etv3,0.126
Nfyb,0.1285
Foxa3,0.1372
Phf21a,0.1436
Zfp36,0.1452
Hdac2,0.1462
Edf1,0.1745
Med26,0.1771
Sp1,0.1794
Atf2,0.1796
Vps72,0.2007
Ets1,0.2072
Kdm3a,0.2166
Nfx1,0.2218
Nfib,0.2422
Mta3,0.2449
C1d,0.2478
Mlxipl,0.2499
Naca,0.253
Hinfp,0.2641
Srebf2,0.2791
Rnf10,0.2854
Tada2a,0.3012
Tead3,0.3043
Bclaf1,0.3075
Tcea3,0.308
Kdm2a,0.3111
Zbtb42,0.3117
Gtf2h5,0.314
Klf12,0.3174
Gatad2b,0.322
Irf9,0.3251
Mterfd3,0.3256
Hdac1,0.3267
Bcl6,0.3276
Foxa2,0.3279
Zbtb24,0.3287
Safb,0.3294
Maf,0.3309
Zfp161,0.331
Hmg20a,0.3318
Klf13,0.3322
Epas1,0.3336
Lin54,0.3338
Sox18,0.3341
Tcf12,0.3346
Nr3c1,0.3346
Foxn3,0.3347
Chd8,0.3347
Cebpb,0.3358
Myst3,0.336
Atoh8,0.3362
Nfkb2,0.3362
Mafg,0.3365
Chd1,0.3367
Zhx3,0.3369
Foxj2,0.3373
Kdm5a,0.3378
Deaf1,0.3378
Zfx,0.3381
Smarca2,0.3383
Sin3a,0.3393
Hnf1b,0.3394
Zfp386,0.3484
Gtf2b,0.3508
Hhex,0.3614
Nono,0.374
App,0.4069
Ddx20,0.4203
Ppp1r8,0.4212
Irf5,0.4214
Gpbp1,0.4237
Med6,0.4238
Ssrp1,0.4265
Stat5b,0.4321
Tcf21,0.4514
Sp2,0.4535
Foxa1,0.4767
Gtf2f2,0.4774
Thap11,0.48
Clock,0.4843
Lrrfip1,0.4854
Zfp217,0.4963
Zfp281,0.4973
Taf2,0.5009
Pnn,0.5334
Trim27,0.5341
Mycl1,0.5343
Hmgb2,0.5361
Nr3c2,0.5544
Carhsp1,0.5556
Rfx1,0.5703
E2f8,0.5746
Snapc4,0.5759
Ahr,0.5817
Irf3,0.6081
Pias4,0.6132
Ruvbl2,0.6264
Nr2f2,0.6344
Creb1,0.6368
Zbtb16,0.6391
Cry1,0.6405
Atf4,0.6507
Ddx58,0.6512
Zfp524,0.6574
Ezh1,0.6597
Ilf2,0.66
Lass2,0.6614
Ccnt1,0.6616
Ptges2,0.6625
Zfp110,0.6626
Wbp7,0.6626
Cbfb,0.6633
Zfp395,0.6644
Mxd4,0.6644
Kdm1b,0.6649
Zfp672,0.6651
Tfip11,0.6659
Rnf6,0.6666
Phf5a,0.6669
Hnrnpk,0.6671
Pml,0.6674
Pknox1,0.6675
Nfe2l1,0.6676
Stat3,0.6682
Myst4,0.6682
Sra1,0.6688
Dhx33,0.6691
Med1,0.6695
Irf7,0.6695
Nfil3,0.6699
Lass6,0.67
Mier1,0.6703
Cux1,0.6719
Tcf25,0.6722
Pparg,0.6731
Tshz2,0.6735
Nfe2l2,0.6736
Cc2d1a,0.6757
Mlx,0.6798
Rbbp5,0.6814
Stat6,0.6843
Rbbp8,0.6861
Irf6,0.691
Gtf2e2,0.6932
Elf1,0.6956
Tmpo,0.6967
Gmeb2,0.7043
Zfp322a,0.7083
Mecp2,0.7106
Gata6,0.7169
Ahctf1,0.7171
Pias2,0.7241
Ppargc1a,0.7245
Grlf1,0.766
Rbck1,0.7869
Pcna,0.7923
Zfp280c,0.8111
Phb,0.814
Ctnnb1,0.8145
Zfp553,0.821
Zfp58,0.822
Arid5b,0.8235
Atf6b,0.8251
Nr1h3,0.8254
Foxq1,0.8263
Rbmx,0.8272
Stat5a,0.83
Tcf7l2,0.8311
Zbtb44,0.8316
Zfp410,0.8322
Dnmt1,0.8392
Sarnp,0.8416
Klf15,0.8559
Nolc1,0.8576
Hnrnpab,0.8579
Set,0.8649
Rbmxl1,0.8672
Mtf1,0.8736
Smarcc1,0.8782
Npm1,0.8817
E2f4,0.8844
Thra,0.8855
Zhx1,0.8888
Gtf2f1,0.8933
Smad3,0.8943
Taf1d,0.8967
Gabpa,0.8976
Mybbp1a,0.9098
Tfdp1,0.911
Taf9,0.9267
Ets2,0.9287
Ubp1,0.9348
Esrra,0.9419
Ppard,0.9447
Smad1,0.9552
Trp53,0.9562
Tardbp,0.9751
Sfpq,0.9793
Rfxank,0.9852
Kdm5b,1.0
Zfp593,1.0
Apex1,1.0
Mterfd1,1.0
Smad5,1.0
Klf9,1.0
Fubp3,1.0
Purb,1.0
Sox9,1.0
Gatad1,1.0
Nfkb1,1.0
Zfp384,1.0
Atf5,1.0
Maz,1.0
Hes6,1.0
Gtf2a1,1.0
Max,1.0
Zbtb7a,1.0
0610031J06Rik,1.0
Ddx1,1.0
Zbtb41,1.0
Hdac4,1.0
Prdm4,1.0
Zscan12,1.0
Klf2,1.0
Xrcc6,1.0
Srebf1,1.0
Zfp276,1.0
Taf13,1.0
Crebzf,1.0
Nfic,1.0
Ogg1,1.0
Mafk,1.0
Csrnp1,1.0
Creb3,1.0
Csde1,1.0
Ncoa3,1.0
Churc1,1.0
Zfp800,1.0
Bcl3,1.0
Sox13,1.0
Rest,1.0
E4f1,1.0
