pathway,nums,percent,pvalue
Chemokine signaling pathway,204,0.6029411764705882,0.0
Cytokine-cytokine receptor interaction,326,0.35276073619631904,0.0
MAPK signaling pathway,252,0.6150793650793651,0.0
NF-kappa B signaling pathway,114,0.6754385964912281,0.0
mmuK signaling pathway,301,0.5880398671096345,0.0
Human cytomegalovirus infection,255,0.7098039215686275,0.0
Yersinia infection,135,0.7851851851851852,0.0
Inflammatory bowel disease,62,0.8709677419354839,0.0
Chagas disease (American trypanosomiasis),101,0.801980198019802,0.001
Osteoclast differentiation,140,0.6857142857142857,0.001
PI3K-Akt signaling pathway,373,0.5656836461126006,0.001
TNF signaling pathway,115,0.782608695652174,0.001
Hepatitis B,163,0.9693251533742331,0.001
Salmonella infection,253,0.7549407114624506,0.001
Leishmaniasis,70,1.042857142857143,0.001
Chagas disease,103,0.7766990291262136,0.001
Rheumatoid arthritis,87,0.7011494252873564,0.001
Viral protein interaction with cytokine and cytokine receptor,95,0.6,0.002
Pathways in cancer,543,0.5524861878453039,0.002
Tuberculosis,180,0.6166666666666667,0.002
Amoebiasis,107,0.7009345794392523,0.002
AGE-RAGE signaling pathway in diabetic complications,101,1.099009900990099,0.002
IL-17 signaling pathway,93,0.8064516129032258,0.003
C-type lectin receptor signaling pathway,112,0.6875,0.003
Lipid and atherosclerosis,216,0.6064814814814815,0.003
Herpes simplex infection,215,0.7395348837209302,0.004
Inflammatory bowel disease (IBD),59,0.9152542372881356,0.004
Phagosome,192,0.5677083333333334,0.004
Human immunodeficiency virus 1 infection,239,0.698744769874477,0.004
Kaposi sarcoma-associated herpesvirus infection,223,0.6591928251121076,0.004
Endocytosis,297,0.5016835016835017,0.005
Human T-cell leukemia virus 1 infection,249,0.7991967871485943,0.005
Fc gamma R-mediated phagocytosis,97,0.7938144329896907,0.006
HTLV-I infection,283,0.7208480565371025,0.006
Toll-like receptor signaling pathway,104,0.6538461538461539,0.006
Herpes simplex virus 1 infection,458,0.34497816593886466,0.006
Epstein-Barr virus infection,230,0.7478260869565218,0.006
Human papillomavirus infection,361,0.5734072022160664,0.006
Malaria,57,0.7894736842105263,0.006
Regulation of actin cytoskeleton,239,0.6317991631799164,0.008
T cell receptor signaling pathway,125,0.704,0.008
JAK-STAT signaling pathway,171,0.543859649122807,0.008
Measles,145,0.8413793103448276,0.008
Hematopoietic cell lineage,98,0.6326530612244898,0.009
Proteoglycans in cancer,205,0.7170731707317073,0.009
B cell receptor signaling pathway,85,0.6941176470588235,0.01
Transcriptional misregulation in cancer,224,0.53125,0.01
Jak-STAT signaling pathway,159,0.5345911949685535,0.012
Influenza A,173,0.8323699421965318,0.012
Alcoholic liver disease,141,0.7375886524822695,0.013
Fc epsilon RI signaling pathway,68,0.6617647058823529,0.014
Apoptosis,137,0.8905109489051095,0.015
Hippo signaling pathway,158,0.689873417721519,0.015
Natural killer cell mediated cytotoxicity,123,0.5528455284552846,0.015
Viral carcinogenesis,228,0.7192982456140351,0.015
Rap1 signaling pathway,218,0.5688073394495413,0.016
Ribosome biogenesis in eukaryotes,125,0.768,0.016
Tight junction,179,0.7094972067039106,0.016
Th17 cell differentiation,107,0.7476635514018691,0.017
Chronic myeloid leukemia,76,1.263157894736842,0.017
Small cell lung cancer,93,1.2043010752688172,0.017
NOD-like receptor signaling pathway,220,0.6090909090909091,0.018
Hepatitis C,166,0.8012048192771084,0.019
Bacterial invasion of epithelial cells,76,0.868421052631579,0.019
Th1 and Th2 cell differentiation,89,0.5842696629213483,0.02
Neutrophil extracellular trap formation,208,0.49038461538461536,0.02
Toxoplasmosis,109,0.8990825688073395,0.02
Colorectal cancer,88,1.0227272727272727,0.021
Fluid shear stress and atherosclerosis,147,0.8231292517006803,0.021
TGF-beta signaling pathway,112,1.0267857142857142,0.022
Coronavirus disease - COVID-19,249,0.7831325301204819,0.022
PD-L1 expression and PD-1 checkpoint pathway in cancer,88,0.7613636363636364,0.023
Cytosolic DNA-sensing pathway,80,0.7375,0.024
Focal adhesion,204,0.7205882352941176,0.024
Pancreatic cancer,76,1.1842105263157894,0.024
Breast cancer,147,0.6462585034013606,0.024
Spliceosome,186,0.7634408602150538,0.025
Cell cycle,157,0.9808917197452229,0.026
Platelet activation,126,0.7857142857142857,0.026
MicroRNAs in cancer,303,0.44554455445544555,0.027
Leukocyte transendothelial migration,121,0.7024793388429752,0.029
Viral life cycle - HIV-1,61,1.2622950819672132,0.03
Neurotrophin signaling pathway,121,0.628099173553719,0.031
Staphylococcus aureus infection,128,0.2578125,0.031
Protein processing in endoplasmic reticulum,183,0.4808743169398907,0.033
TGF-beta signaling,8,2.875,0.033
Acute myeloid leukemia,70,1.042857142857143,0.034
Axon guidance,183,0.5245901639344263,0.035
RNA transport,167,0.9341317365269461,0.035
Antifolate resistance,29,0.9655172413793104,0.036
Phospholipase D signaling pathway,150,0.6133333333333333,0.037
Wnt signaling pathway,180,0.5444444444444444,0.037
Relaxin signaling pathway,129,0.7131782945736435,0.037
Signaling pathways regulating pluripotency of stem cells,141,0.5886524822695035,0.038
Sphingolipid signaling pathway,127,0.6771653543307087,0.038
Pyrimidine metabolism,107,0.9252336448598131,0.041
Ras signaling pathway,242,0.4628099173553719,0.041
Hepatocellular carcinoma,174,0.7586206896551724,0.041
Systemic lupus erythematosus,149,0.3691275167785235,0.041
Efferocytosis,155,0.6903225806451613,0.042
"Parathyroid hormone synthesis, secretion and action",108,0.6759259259259259,0.042
Cellular senescence,183,0.7814207650273224,0.043
Chemical carcinogenesis - receptor activation,225,0.6266666666666667,0.045
Legionellosis,60,0.9,0.045
Complement and coagulation cascades,94,0.5212765957446809,0.05
Gastric cancer,150,0.6933333333333334,0.05
Toll-like receptor signaling,15,1.4666666666666666,0.052
Nucleocytoplasmic transport,117,1.0256410256410255,0.054
Prostate cancer,99,0.9090909090909091,0.054
mRNA surveillance pathway,105,0.9142857142857143,0.056
p53 signaling pathway,74,1.1216216216216217,0.057
Inflammatory mediator regulation of TRP channels,127,0.48031496062992124,0.058
Pertussis,77,0.7662337662337663,0.059
Intestinal immune network for IgA production,45,0.6222222222222222,0.06
Lysosome,136,0.5588235294117647,0.06
