term,,,adj_p_value
"Ribosome, eukaryotes",,,1.8539434246958455e-42
Ribosome,,,1.0067429939282225e-34
Coronavirus disease - COVID-19,,,1.687874281497427e-31
Parkinson's disease,,,4.984135980635917e-25
Oxidative phosphorylation,,,6.451931419797466e-25
Alzheimer's disease,,,8.087580434539675e-24
Huntington's disease,,,4.626698916853086e-23
Non-alcoholic fatty liver disease (NAFLD),,,1.6029898009981972e-21
Non-alcoholic fatty liver disease,,,2.3772410839604945e-21
Diabetic cardiomyopathy,,,7.845084856550296e-21
Cardiac muscle contraction,,,1.2158727239122054e-20
Chemical carcinogenesis - reactive oxygen species,,,9.131099256511166e-19
Thermogenesis,,,1.4903068413788497e-18
Parkinson disease,,,1.3250180785325873e-17
Prion disease,,,1.460948667876465e-17
Amyotrophic lateral sclerosis,,,1.0560477409948952e-16
Huntington disease,,,1.0560477409948952e-16
Metabolic pathways,,,7.748602223588027e-16
Alzheimer disease,,,4.741710104354091e-15
Pathways of neurodegeneration - multiple diseases,,,6.428516676949321e-15
Cell cycle,,,2.6037619735952854e-13
Cytochrome bc1 complex,,,8.882142951164691e-13
Hypertrophic cardiomyopathy (HCM),,,6.238499212270491e-12
Hypertrophic cardiomyopathy,,,7.904744485134439e-12
Dilated cardiomyopathy,,,7.904744485134439e-12
Adrenergic signaling in cardiomyocytes,,,3.9290759904629824e-10
Carbon metabolism,,,6.20739896751855e-10
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",,,3.414796034261918e-09
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,,,5.922621612012493e-09
Motor proteins,,,6.079299243869011e-08
Retrograde endocannabinoid signaling,,,1.1070972522332144e-07
Cytochrome c oxidase,,,2.578491762083896e-07
"Citrate cycle (TCA cycle, Krebs cycle)",,,2.8605532999060864e-07
Citrate cycle (TCA cycle),,,4.069087593803289e-07
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",,,1.6721061095846178e-06
MCM complex,,,1.6998364110064415e-06
Progesterone-mediated oocyte maturation,,,2.399298078997451e-06
Cytokine-cytokine receptor interaction,,,6.922771920986852e-06
Glyoxylate and dicarboxylate metabolism,,,8.773283944683721e-06
Propanoate metabolism,,,8.773283944683721e-06
Oocyte meiosis,,,1.5077548216657178e-05
Cell cycle - G2/M transition,,,2.3027285276669453e-05
Pyruvate metabolism,,,2.5751659629719052e-05
Spliceosome,,,3.3781266237992035e-05
"Valine, leucine and isoleucine degradation",,,6.109753066115644e-05
Proteasome,,,6.52245630107973e-05
Immunoproteasome,,,6.852507980085455e-05
Fc gamma R-mediated phagocytosis,,,7.301012678810926e-05
Leishmaniasis,,,0.00010918782243012434
Phagosome,,,0.00010918782243012434
Lysine degradation,,,0.00011923258153958298
Cytochrome bc1 complex respiratory unit,,,0.00012768478010156948
Biosynthesis of amino acids,,,0.00014294053179937514
2-Oxocarboxylic acid metabolism,,,0.00014580075280921302
Protein digestion and absorption,,,0.00017963148010586801
Peroxisome,,,0.00020023843152031757
B cell receptor signaling pathway,,,0.00021401004232463682
"F-type ATPase, eukaryotes",,,0.00024580424348642234
HTLV-I infection,,,0.000254243308594491
Focal adhesion,,,0.00028729809250742903
Epstein-Barr virus infection,,,0.0003658879697763078
Cell cycle - G1/S transition,,,0.0003658879697763078
Intestinal immune network for IgA production,,,0.0003658879697763078
Bacterial invasion of epithelial cells,,,0.00044949958481441143
"Proteasome, 20S core particle",,,0.0005068833757860506
Succinate dehydrogenase (ubiquinone),,,0.0005488896636649427
eIF4F complex,,,0.000716184285163326
IL-17 signaling pathway,,,0.0007877078026273746
Hematopoietic cell lineage,,,0.0007877078026273746
Viral protein interaction with cytokine and cytokine receptor,,,0.0007877078026273746
Tryptophan metabolism,,,0.0007912055193949629
Leukocyte transendothelial migration,,,0.0009508237526513647
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",,,0.0009512148011788544
Neutrophil extracellular trap formation,,,0.0009840661175572077
