tf,p-value
Nfkb1,0.0
Sp1,0.0
Fli1,0.0
Stat1,0.0
Akna,0.0
Phb,0.0
Ddx58,0.0001
Foxp1,0.0002
Zfp46,0.0003
Cic,0.0004
Trp53,0.0006
Mafk,0.0007
Gtf2f2,0.0011
Runx3,0.0016
Ptges2,0.0034
Pbrm1,0.0036
Rnf4,0.0038
Cebpb,0.0038
Psmc3ip,0.0058
Irf8,0.006
Batf,0.0072
Irf5,0.0082
Runx1,0.01
E2f4,0.0102
Meox2,0.0126
Heyl,0.0138
Irf9,0.0152
Zbtb7b,0.0186
Zfp36,0.0189
Chd1,0.0212
Edf1,0.0249
Foxn2,0.0253
Tfip11,0.0278
Relb,0.0303
Cbfb,0.0362
Irx3,0.0424
Trim30a,0.044
Phf5a,0.0441
Zbtb16,0.0451
Apex1,0.0466
Atoh8,0.0591
Nostrin,0.0592
Lmo4,0.0634
Tbl1xr1,0.0773
Zfp217,0.0795
Sox7,0.0829
Mxd3,0.0838
Etv3,0.0865
Thap11,0.0869
Adar,0.0877
Pml,0.0902
Klf9,0.1045
Snai2,0.1053
Ldb1,0.1076
Glis2,0.1373
Tbx20,0.138
Gtf2i,0.1409
Sox17,0.1516
Sp100,0.1556
Yap1,0.1612
Ncor2,0.1757
Rest,0.1827
Pou2f2,0.1915
Dnmt3a,0.1924
Aebp2,0.1931
Nfatc1,0.1996
Zfp281,0.2399
Gtf2e2,0.2429
Uhrf1,0.2552
Irf1,0.2606
Atf5,0.2664
Cebpa,0.2745
Maf,0.2778
Ankrd1,0.2823
Hdac3,0.2836
Taf1d,0.304
Taf11,0.3058
Zeb1,0.3064
Ciita,0.3074
Cxxc1,0.3079
Mta2,0.3082
Lmo2,0.3104
Bmi1,0.3118
Klf6,0.3133
Calcoco1,0.3208
Tbx3,0.3227
Smad3,0.3255
Etv5,0.3275
C1d,0.3282
Nono,0.3284
Cry1,0.3285
Sox12,0.3285
Hmg20b,0.3286
Arid1a,0.3288
Atf6b,0.3291
Nfe2l2,0.33
Arid5a,0.3309
Hnrnpd,0.331
Mafg,0.3319
Hand2,0.3322
Creb3,0.3328
Ncoa3,0.3335
Tfeb,0.3337
Cc2d1a,0.3348
Rara,0.3351
Scx,0.3355
Aebp1,0.3356
Zbtb7a,0.3358
Zfp395,0.3366
Zkscan17,0.3391
Zbtb42,0.3398
Smad7,0.341
Lrpprc,0.342
Zfp263,0.3448
Msl3,0.3451
Ilf2,0.3472
Trim27,0.3816
Atxn1l,0.3878
Sox18,0.3969
Tef,0.3985
Tcea3,0.4001
Snai1,0.4014
Pparg,0.407
Npm1,0.4101
Ezh2,0.428
Ets2,0.4293
Klf15,0.4326
Gata2,0.4355
Gtf2b,0.4388
Rps3,0.4558
Pnn,0.4588
Ppp1r8,0.4612
Csrnp1,0.4818
Zbtb20,0.4821
Mybl2,0.4838
Gtf2f1,0.4884
Elf1,0.4896
Naca,0.4991
Zfp35,0.5127
Srrt,0.5152
Pias4,0.5158
Safb2,0.5189
Hmgb2,0.5199
Rxrg,0.5209
Camta1,0.5331
Mybbp1a,0.5357
Mbd3,0.5365
Zfp354c,0.5417
Rorc,0.5533
Epas1,0.556
Fosl2,0.5606
Klf4,0.5642
Nr3c1,0.565
Cdc5l,0.567
Nfix,0.581
Sra1,0.5834
Hnrnpab,0.5881
Foxm1,0.5954
Nfic,0.6001
Suz12,0.6089
Elk3,0.6128
Rbmxl1,0.6175
Pus1,0.6178
Med6,0.6179
Ppargc1a,0.6431
Nat14,0.6585
Bclaf1,0.6595
Dbp,0.6627
Taf2,0.6633
Nr1h3,0.6634
Arnt,0.6636
Nfatc4,0.6636
Myc,0.664
Gata6,0.6646
Tead2,0.6647
Nfyc,0.6652
Fubp3,0.6653
Yy1,0.6655
Spata24,0.6663
Nfkb2,0.6664
Tshz1,0.6668
Zfp384,0.6672
Hltf,0.6673
Rbck1,0.6674
Gtf2h5,0.6677
Prrx2,0.6678
Stat6,0.6679
Bcl3,0.6683
Topors,0.6685
Irf3,0.6686
Six5,0.6689
Csde1,0.669
Nr1h2,0.669
Tcf3,0.6691
Rfc1,0.6691
Smarce1,0.6696
Foxk2,0.6704
Gpbp1,0.6715
Mafb,0.6718
Tada2a,0.6718
Rbbp8,0.6759
Tcf21,0.6885
Junb,0.7071
Atf1,0.708
Foxs1,0.7137
Drap1,0.7234
Set,0.7383
Gata4,0.74
Bhlhe40,0.7569
Smarcc1,0.7682
Sox9,0.7743
Tardbp,0.7862
Sarnp,0.7871
Pa2g4,0.7963
Nfyb,0.7991
Tbx2,0.7994
Hlx,0.8128
Pbx2,0.8173
Ikzf1,0.8264
Bcl6b,0.828
E2f3,0.8331
Irf7,0.8504
Mlx,0.8557
Nr1d2,0.8653
Nolc1,0.8748
Tfdp1,0.8768
Lyl1,0.8921
Smad6,0.8924
Nfib,0.8971
Ercc3,0.9041
Pcna,0.9059
Meox1,0.9061
Nfil3,0.9157
Taf13,0.9184
E2f2,0.9196
Smarca5,0.9244
Ets1,0.9256
Sfpq,0.9392
Phtf2,0.9521
Men1,0.964
Tmpo,0.9701
Ndn,0.9736
Hic1,0.9774
Nr1d1,0.9853
Hells,0.9861
Twist1,0.9919
Top2a,0.9973
Usf2,1.0
Mef2d,1.0
E2f1,1.0
Taf6l,1.0
Atf3,1.0
Mxd4,1.0
Klf13,1.0
Hmgb1,1.0
Basp1,1.0
Rere,1.0
Hhex,1.0
Tnf,1.0
Trim16,1.0
Ubp1,1.0
Hdac1,1.0
Mef2a,1.0
Srebf2,1.0
Cnbp,1.0
E2f5,1.0
Irx5,1.0
Taf8,1.0
Stat3,1.0
Zfpm1,1.0
Mta3,1.0
Smyd1,1.0
Thra,1.0
