Source,Target,PValue
Cic,Mrpl18,2.3291298338610745e-151
Larp7,Arnt,6.878052595798223e-92
Hnrnpk,Wtap,8.517176219033264e-76
Rcc2,Ruvbl2,1.296943108760884e-58
Car4,Nr3c2,1.512238487112681e-53
Cbfb,Wtap,5.489037470264318e-50
Mxd3,E2f1,1.8542972852693324e-49
Rcc2,E2f1,3.3182604436731607e-48
Anp32b,Sarnp,3.3619068533108404e-47
Nup205,Foxm1,4.979743211570019e-47
Rcc2,Foxm1,1.86590524388146e-43
Fosb,Arc,3.352508610173426e-38
Rcc2,Top2a,4.1072662743191184e-35
Rcc2,Smarcc1,5.365694268761225e-33
Ppp1r8,Nhp2,1.0394178606970952e-32
Hmgb2,Zbtb20,4.960643727201316e-32
Sf3a1,Prdm4,4.727687855535085e-30
Cbfb,Dsel,3.0394776041512214e-29
Nup43,Foxm1,1.7873569781717492e-28
Rpa2,Top2a,2.0719039477467793e-27
Farsb,Arnt,9.781484477982213e-27
Prim1,E2f1,3.179286748341701e-26
Rfc5,E2f1,3.179286748341701e-26
Nup43,Ruvbl2,1.3590349117766041e-25
Rpa2,Klf9,4.0094275098371344e-25
Shroom3,Ets2,9.79297147432067e-25
Prim1,Foxm1,1.160488187208347e-24
Rfc5,Foxm1,1.160488187208347e-24
Dnajc2,Eif2a,3.9908564703331755e-24
Gpt,Nr1h3,9.575908562010078e-24
Morc3,Zfp263,1.0049082308830112e-23
Rcc2,Tmpo,1.1147283720133479e-23
Mcm7,Gtf2e2,3.990621478370883e-23
Mcm3,Foxm1,4.4134042002128524e-23
Rpa2,Gtf2f1,5.9993735116806e-23
Prox1,Actg1,6.639094804618949e-23
Irx5,Myh7,1.377505818022588e-22
Tcp1,Prdm4,1.4827156728490678e-22
Dnajc2,Mtdh,2.8689243363109517e-22
Rrp15,Pa2g4,8.55873654192508e-22
Snrpe,Set,3.098950468525899e-21
Rcc2,Mxd3,3.2824103420039698e-21
Larp7,Thoc1,3.9712688805571636e-21
E2f1,Ptprn,4.461637307634208e-21
Apex1,Timm23,7.981119778725383e-21
Prim1,Top2a,8.065473579319504e-21
Rfc5,Top2a,8.065473579319504e-21
Taf1d,Uhrf1,1.51762832033075e-20
Vrk1,E2f1,1.6334442029928915e-20
Hltf,Nr1d2,1.8245650521946956e-20
Gtf2b,Ndufa7,2.6620055770906206e-20
Anp32b,Srrt,5.99829711628174e-20
Tcp1,Nr1h3,6.263051113911788e-20
Hnrnpab,Isg20l2,1.9754755913362583e-19
Nr3c2,Tppp,2.236145240616294e-19
Rpa2,Ruvbl2,3.35729723225307e-19
Endog,Hes6,6.6928593020350935e-19
Rpa2,Rfc1,2.2454665663796113e-18
Mbd3,Lsm10,5.073148432987256e-18
Edf1,Atp5l,5.10440216296792e-18
Cbfb,Rpl22,8.439010639150839e-18
Rrp15,E2f3,1.1262679882738529e-17
Tlr2,Maf,2.9131237311777816e-17
Ndufaf1,App,5.0713248943144805e-17
Eif2a,Cnbp,5.637133474709913e-17
Nhp2,Ruvbl2,1.0562833899753239e-16
Nup43,Top2a,1.6075834260865055e-16
Nup155,E2f1,1.7395660536106081e-16
Trim28,Mpc1,2.089330304864572e-16
Kdm1a,Rxra,2.2532287700410163e-16
Rcc2,Tfdp1,2.3057086173013586e-16
Snrpf,Pa2g4,2.987050198636995e-16
Impdh2,Smarcc1,5.89087093800872e-16
Elk3,Ctla2a,6.371381878300091e-16
Nup43,Smarcc1,6.766544764159796e-16
Rpa2,Mxd3,8.941980083017682e-16
Snrpa1,Top2a,9.667135366545476e-16
Mad2l1,Foxm1,1.0657884684800824e-15
Mpc1,Srrt,1.2051599993215866e-15
Il18,Nr3c2,1.6340403898744488e-15
Gins1,Mybl2,1.670708295994452e-15
Uhrf1,Nhp2,2.112733454186625e-15
Cc2d1a,Pmaip1,3.828264542989723e-15
Rbmxl1,Hnrnpk,4.1744578515098766e-15
Apex1,Cct5,4.692249859465083e-15
Rbm14,Trim28,6.399878795647165e-15
Mcm3,E2f1,8.349465591887404e-15
Nr3c2,Dyrk2,1.3968532927274099e-14
Trim27,Gcsh,2.4386957421676865e-14
Anp32b,Nolc1,2.5168787529068567e-14
Nup205,Ruvbl2,5.3842727720821926e-14
Topors,Hnrnpf,6.39367624995336e-14
Rcc2,Pa2g4,6.803233658013476e-14
Psat1,Nr3c2,7.224819857826483e-14
Snrpf,Nolc1,7.413618488533828e-14
Nup205,Top2a,1.310126201687496e-13
Rcc2,Pcna,2.5804833316791376e-13
Rps3,Tbca,2.783343112527065e-13
Eri1,Hltf,2.986501389066038e-13
Ddx41,Usp20,3.048854342246903e-13
Edf1,Znhit1,3.530876286825677e-13
Taf13,Znhit1,4.847939609044054e-13
Mtf2,Top2a,4.894963427018632e-13
Myh14,Nr3c2,6.334473113803519e-13
Nup155,Top2a,8.488503363812645e-13
Snrpe,Pa2g4,1.106270790928294e-12
Rcc2,Set,1.1881257639513933e-12
Rbm14,Pa2g4,1.257974550930445e-12
Nup205,Nr3c2,1.2698162596371477e-12
Znhit1,Rbmx,1.3960046705791681e-12
Hnrnpk,Dsel,1.5926377815336297e-12
Gtf2b,Atp5l,2.085608341587571e-12
Hirip3,Trim28,2.7960163729143388e-12
Smndc1,Zfp263,3.0214560331127686e-12
Mcm7,Trim28,3.0951328828945213e-12
Snrpe,Tfdp1,3.405324816882551e-12
Rfc5,Smarcc1,4.67961843739278e-12
Nr1h3,Cyp27a1,4.981905995548418e-12
Rps3,Rpl5,5.078216893018061e-12
Impdh1,Tbl1xr1,5.2734846480060675e-12
E2f3,Prelid1,5.886958597716036e-12
Irx5,Nebl,5.968118984449986e-12
Bcl6b,Dync2li1,6.451839662889825e-12
Mtf2,Rfc1,7.966282677493247e-12
Mcm7,Pa2g4,8.769516892121625e-12
Sf3a1,Smarcc1,9.275863553206058e-12
Nup107,E2f1,9.412274642872743e-12
Nup107,Nr3c2,1.0920947570904189e-11
Mcm6,Foxm1,1.1927894114724807e-11
Ten1,Prdm4,1.4795097331140135e-11
Nup43,Mxd3,1.4895350372072576e-11
Prdm4,Rxra,1.561042684891596e-11
Nup43,Tmpo,2.168940247105216e-11
Rpa2,Tmpo,2.8491611617474885e-11
Snrpe,Top2a,3.066032346591333e-11
Rrp15,Ssrp1,3.1466785277774876e-11
Vrk1,Sfpq,3.94065106430048e-11
Prim1,Hdac1,4.2048837906495104e-11
Rfc5,Hdac1,4.2048837906495104e-11
Top2a,Smarca5,4.4584301960322716e-11
Pa2g4,Ypel5,5.156930780572389e-11
Psip1,Rxra,5.1854627079432095e-11
Trip13,E2f1,5.709468601591261e-11
Nup205,Zbtb20,5.7181408556429136e-11
Wdr43,Nfyb,5.992671904849688e-11
Tdg,Foxm1,6.21198605051565e-11
Mcm4,Trim28,6.711560575983192e-11
Wdr43,E2f3,7.373693783998278e-11
Prpf38b,Kdm2a,7.909277890340166e-11
Ncapd2,Foxm1,8.756618527189839e-11
Prox1,Agt,9.132727420795782e-11
Foxm1,Mpeg1,9.64086255349642e-11
Cebpa,Syt7,9.690158802692889e-11
Snrpf,Tfdp1,9.810894239061793e-11
Nr3c2,Serinc2,9.997497602686882e-11
Rnps1,Prdm4,1.074784804467592e-10
Foxn2,Psma1,1.1556386154371292e-10
Mtf2,Taf2,1.2179973935877762e-10
Rrp15,Tfdp1,1.2770728943220766e-10
Hnrnpa1,Tmpo,1.3153064215507623e-10
Anp32b,E2f1,1.9365559065320929e-10
Nup43,Gtf2e2,2.0118755854558202e-10
Psma5,E2f3,2.088021402797853e-10
Tacc3,Nr3c2,2.1008738354721721e-10
Prim1,Mxd3,2.329949994808787e-10
Rfc5,Mxd3,2.329949994808787e-10
Nhp2,Set,2.436237520017274e-10
Rcc2,Hdac1,2.531972522754102e-10
Hnrnpm,Ubp1,2.6336327634380967e-10
Hmgb2,Isg20l2,3.0868995405721077e-10
Nr3c2,Golph3l,3.196776060522182e-10
Prim1,Tmpo,3.2403608076031165e-10
Rfc5,Tmpo,3.2403608076031165e-10
Lyar,Nolc1,3.287013111700477e-10
Dnmt1,Hnrnpa1,3.3088121747788294e-10
Cdca7,Dnmt1,3.4152559279291863e-10
Gtf2f2,Plekhg5,3.6524032239401646e-10
Rcc2,Trim28,3.919340911139473e-10
Anp32b,Psmc3ip,4.149726226970815e-10
Mcm3,Top2a,4.6429681273521714e-10
Dhx8,Mta2,4.745776978648905e-10
Tcp1,Psip1,5.306447198342083e-10
Mad2l1,E2f1,5.767779253589271e-10
Alyref,E2f1,6.092160034316076e-10
Lmo2,Cbfa2t3,6.122971410204842e-10
Impdh2,Set,6.258139534804095e-10
Kcnk6,Mafg,8.090694243769736e-10
Rcc2,Uhrf1,8.491436392052621e-10
Mcm3,Klf9,8.946350400981533e-10
Impdh2,Pa2g4,9.079884845739829e-10
Polr2b,Hnrnpk,9.118374729833833e-10
Mcm7,Tfdp1,9.381630898237548e-10
Snrpa1,Rfc1,9.61847121748732e-10
Nup43,Klf9,1.101692182791617e-09
Gart,Pa2g4,1.1651303746458445e-09
Rpa2,Pcna,1.242706469519301e-09
Prkaa1,Zfp263,1.2876427650963795e-09
Mad2l1,Rbbp8,1.2973414756408456e-09
Rrp15,Nolc1,1.3883585770103476e-09
Mcm3,Hdac1,1.3905388868233895e-09
Nfib,Smarcd3,1.4986052801274786e-09
Mcm4,Pa2g4,1.5778982843782727e-09
Prim1,Pcna,1.5860422941237519e-09
Rfc5,Pcna,1.5860422941237519e-09
Impdh2,Tfdp1,1.6272115956207329e-09
Hirip3,Tfdp1,1.6330097557734194e-09
Apex1,Prpf19,1.723320356430078e-09
Nhp2,Pa2g4,1.7971324213825753e-09
Anp32b,Top2a,1.9526802845093775e-09
Ncapd2,Rfc1,2.1505874691002254e-09
Uba2,Set,2.211718644878237e-09
Prim1,Klf9,2.2638821706726436e-09
Rfc5,Klf9,2.2638821706726436e-09
Hnrnpk,Cyp27a1,2.7169186469489424e-09
Hnrnpf,Hdac1,2.7801703592126505e-09
Hat1,Smarcc2,2.9378686984822153e-09
Uba2,Psmc3ip,3.1728099371716264e-09
Impdh2,Ruvbl2,3.427386363306196e-09
Mcm7,Smarcc1,3.5294358771038434e-09
Hirip3,Ssrp1,3.8652245905620965e-09
Lyar,Msl3,3.96789785662045e-09
Ncapd2,Ruvbl2,4.031609208438684e-09
Nup155,Rfc1,4.097355201909461e-09
Tacc3,E2f1,4.221160908618744e-09
Rcc2,Ssrp1,4.641655767990621e-09
Ezh2,Gins1,4.832447238593618e-09
Ezh2,Pold3,4.832447238593618e-09
Mkrn1,Ets2,5.2456776487661e-09
Anp32b,Hnrnpab,5.575334879506485e-09
Nr3c2,Rfk,5.6137839256517216e-09
Mcm3,Rbbp8,6.394099138339748e-09
Nup155,Smarcc1,6.992762279229422e-09
Rbm14,Ssrp1,8.458560967182324e-09
Ginm1,Nr1d2,8.627466203123674e-09
Nup205,Taf2,9.034161938453744e-09
Nr3c2,Il13ra1,9.13044057898637e-09
Polr2b,Arnt,9.247686152968089e-09
Larp7,Gtf2e2,9.384144779271004e-09
Fundc2,E2f6,1.0625742938089662e-08
Snrpe,Pcna,1.0792302835157221e-08
Rrp15,Psmc3ip,1.1493169723491516e-08
Mcm6,E2f1,1.259491613951504e-08
Polr2b,Zc3h8,1.3173953680182808e-08
Impdh2,Psmc3ip,1.4270484213050727e-08
Snrpe,Hnrnpab,1.621767296894815e-08
Cfl1,Nfya,1.7965957010895662e-08
Vrk1,Rfc1,1.9095169830345178e-08
Ppp1r8,Isg20l2,2.1823479232124833e-08
Hirip3,Ruvbl2,2.1833061900358006e-08
Mad2l1,Klf9,2.204804734136537e-08
Nup93,E2f1,2.2643293709583558e-08
Uba2,Rfc1,2.290797211540238e-08
Slc38a4,Klf6,2.3394268098038035e-08
Hat1,Gabpa,2.403377991536871e-08
Trip13,Top2a,2.47674150661825e-08
Hdac2,Nap1l1,2.4915716432334456e-08
Mcm7,Psmc3ip,2.5710441446403074e-08
Ncapd2,Smarcc1,2.5812308753153363e-08
Prim1,Gtf2e2,2.5976091218921578e-08
Trip13,Foxm1,2.6331410610454545e-08
Nup43,Zbtb20,2.6461380139548678e-08
Mybl2,Nhp2,2.6807530398572108e-08
Ezh2,Hnrnpa1,2.987114702510423e-08
Nono,Ubp1,2.997303202079841e-08
Larp7,Psmc3ip,3.390538249206654e-08
Eed,Aebp2,3.463960171599429e-08
Uba2,Gtf2e2,3.746839588493372e-08
Mcm3,Rfc1,3.86883923260988e-08
Nup205,Klf9,4.237637083279075e-08
Mcm7,Ssrp1,4.7397670952938495e-08
Vrk1,Pcna,4.998226229181947e-08
Atf3,Fos,5.4571994277228436e-08
Rpa2,Hmgb2,5.505153893302857e-08
Rpa2,Ppp1r8,5.7431285696618856e-08
Mxd3,Mpeg1,5.840589349543395e-08
Mtf2,Rbbp8,5.916317626945076e-08
Mcm3,Nr3c2,5.99841457700488e-08
Kifc5b,Foxm1,6.206161195186988e-08
Tcp1,Kdm1a,6.212997273558748e-08
Snrpf,Smarcc1,6.521229566298686e-08
Anp32b,Pa2g4,6.953032147245727e-08
Tcp1,Sarnp,7.140734489504566e-08
Orc6,E2f1,7.145886287473857e-08
Wdr43,Pa2g4,7.254741751678375e-08
Mcm4,Tfdp1,7.81285328345595e-08
Mcm2,Foxm1,7.966127054681558e-08
Snrpa1,Smarca5,8.035100206112074e-08
Toe1,Ilf2,8.246277798855321e-08
Mcm7,Set,8.475692707912849e-08
Trim59,Nr3c2,9.06788573550412e-08
Krt19,Ets2,9.249835403548529e-08
Psma5,Tada2a,9.776908711263518e-08
Tcp1,Hdac2,9.973112174891715e-08
Mad2l1,Hdac1,1.044388293133623e-07
Uba2,Tfdp1,1.0459210030129158e-07
Cic,Atg12,1.103026462468626e-07
Kdr,Sox7,1.4146518566600812e-07
Snrpa1,Pcna,1.4327648585703284e-07
Fbxo5,Foxm1,1.4769244339124827e-07
Rpa2,Uhrf1,1.4861046188227067e-07
Dnmt1,Rps11,1.4903866075763672e-07
Mcm3,Zbtb20,1.5345841166906453e-07
Snrpa1,Mxd3,1.5586831414531515e-07
Hirip3,Psmc3ip,1.580125266166379e-07
Impdh2,Trim28,1.590478104405243e-07
Clybl,Hes6,1.5910555394489e-07
Erg,Sox7,1.6075963687046526e-07
Spata24,Yaf2,1.615391599098066e-07
Prim1,Zbtb20,1.649928858650977e-07
Rfc5,Zbtb20,1.649928858650977e-07
Nr1h3,Rxra,1.7320460584139506e-07
Mcm5,Trim28,1.747514122408977e-07
Nup107,Foxm1,1.96336771979754e-07
Optn,Prdx5,1.9914671710148152e-07
Hirip3,E2f1,2.006039857718338e-07
Larp7,Rfc1,2.0633519458091273e-07
Kdm1a,Cox7a2l,2.362598849027995e-07
Mcm3,Ruvbl2,2.371836603002193e-07
Tcp1,Msl3,2.3944246901268674e-07
Rrp15,Rfc1,2.419837185679284e-07
Irx5,Sln,2.566569797719516e-07
Ccdc85a,Irx3,2.5973233833272727e-07
Eif2a,Thoc1,2.60367282214598e-07
Mcm4,E2f3,2.7253267775527767e-07
Nup43,Tfdp1,2.746489888045408e-07
Psip1,Bmi1,2.972727247036771e-07
Aldh16a1,Maf,3.081288718410976e-07
Ruvbl2,Hnrnpf,3.096868157570207e-07
Mitd1,Zfp263,3.269056225596681e-07
Rcc2,Hmgb2,3.271223565525815e-07
Trip13,Ruvbl2,3.328983039401781e-07
Wdr43,Cbfb,3.3620515453979664e-07
Mcm5,Smarcc1,3.464453283685675e-07
Gpm6b,Rbpj,3.478177767670781e-07
Nup205,Tmpo,3.5243710358452105e-07
Uba2,Smarca5,3.652404892513569e-07
Taf2,Cdk2,3.664127390901491e-07
Mcm5,E2f1,3.792781848562952e-07
Mtf2,Smarcc1,3.8461889945085625e-07
Ncapd2,Top2a,3.8991917973815573e-07
Ilf2,Itm2b,3.983825051726422e-07
Krt19,Klf6,3.988234701024597e-07
Stat5b,Rbbp8,4.113281945643937e-07
Sf3a1,Pa2g4,4.209737494726507e-07
Mcmbp,Zfp263,4.713319802641991e-07
Myl12b,Ets2,4.971173311200437e-07
Snrpf,Set,4.9765631936509e-07
Larp7,Gtf2f1,5.04103951106793e-07
Plk4,Nr3c2,5.067665513114177e-07
Itm2b,Gtf2f1,5.497006815797801e-07
Snrpf,Ssrp1,5.666609392132125e-07
Drap1,Smtn,5.678297905862158e-07
Nup107,Prdm4,5.958366586933113e-07
Akap8,Prdx5,5.967813117542907e-07
Mcm4,Ssrp1,6.421671967619666e-07
Mcm7,Ruvbl2,6.502153128376739e-07
Rfwd3,Klf9,6.606568563522653e-07
Mad2l1,Top2a,6.688678503505799e-07
Mcm5,Ruvbl2,6.793808042918145e-07
Rcl1,Prox1,6.871510265328016e-07
Hirip3,Set,7.467206905529601e-07
Rcl1,Nfil3,7.618180935498505e-07
Prim1,Psmc3ip,7.716351095953373e-07
Mpc1,Prdx5,8.061332908939731e-07
Crip1,Klf4,8.130090304720021e-07
Nup107,Top2a,8.205915453602793e-07
Cks1b,Nr3c2,8.839933693703896e-07
Snrpe,Mxd3,8.872642847385369e-07
Trip13,Prdm4,9.203685898356585e-07
Rrp15,Nfyb,9.547145546683588e-07
Anp32b,Set,1.0105423229039897e-06
Mcm5,Pa2g4,1.0408314849162304e-06
Tacc3,Foxm1,1.067289170661727e-06
Atxn3,Zfp263,1.0842161239801968e-06
Ruvbl2,Toe1,1.1052788237651367e-06
Hirip3,Rfc1,1.116352603781864e-06
Ppp1r8,Alyref,1.1385288238772496e-06
Nup93,Ruvbl2,1.2142165971946913e-06
Alyref,Mxd3,1.25067709918258e-06
Nup155,Tmpo,1.3882142508243502e-06
Cc2d1a,Lpin3,1.4153270733672153e-06
Hdac1,Donson,1.418114991277887e-06
Snrpf,Hnrnpab,1.4803780257282455e-06
Nr1d1,Tbca,1.4941913850899022e-06
Snrpa1,Psmc3ip,1.5982773747232957e-06
Ppara,Fuom,1.6488001014346046e-06
Incenp,Topors,1.6610920868499738e-06
Mcm5,Ssrp1,1.7448769992334991e-06
Snrpa1,Tmpo,1.7540565637778292e-06
Itga6,Ets2,1.7891682393548412e-06
Hltf,Herc4,1.8067941895956975e-06
Stat6,Rwdd4a,1.8690621312087523e-06
Pcna,Hnrnpf,1.8732233033061012e-06
Nup43,Psmc3ip,1.9919805846809535e-06
Larp7,Dnajc2,2.030263782556649e-06
Hltf,Zfp263,2.0979287221610274e-06
Rcc2,Nolc1,2.2380158855205135e-06
2810403A07Rik,Aebp2,2.2688765528170464e-06
Irx5,Dusp7,2.4040280016587087e-06
Nup43,Pa2g4,2.44150132948202e-06
Mad2l1,Zbtb20,2.4773325978594068e-06
Hirip3,Uhrf1,2.4802353022101386e-06
Prim1,Rbbp8,2.560158122836795e-06
Rfc5,Rbbp8,2.560158122836795e-06
Ezh2,Rpa2,2.7625194110704876e-06
Snrpa1,Taf2,2.8276270453005074e-06
Mcm3,Mxd3,3.0204035151151504e-06
Uba2,Psip1,3.0386391519354423e-06
Nhp2,Hnrnpab,3.1432148164585635e-06
Hirip3,Tmpo,3.1753202851029748e-06
Snrpa1,Gtf2e2,3.2204662320785465e-06
Mcm5,Rfc1,3.4264002074068582e-06
Cenpb,Sqstm1,3.43972879965714e-06
Mcm5,Tfdp1,3.549049184492243e-06
Hnrnpa1,Smarca5,3.5856314947533927e-06
Prpf38b,Zfp263,3.5937772519273668e-06
Ncapd2,Mxd3,3.628450512259093e-06
Larp7,Fubp3,3.7638127485669504e-06
