source,target,p-value,model
Pias4,Vps18,0.0,-1
Ilf2,Snx12,0.0,1
Esrrg,Atp5a1,0.0,-1
Csde1,Eif4a2,0.0,-1
Batf3,Slc35f5,0.0,-1
Mbd3,Vps4b,0.0,-1
Maz,Prrc2a,0.0,1
Hdac3,Incenp,0.0,-1
Hdac3,Polr2h,0.0,-1
Carhsp1,Slc43a2,0.0,-1
Xbp1,Atp5b,0.0,-1
Hdgf,Rbm17,0.0,1
Rxra,Gpt,0.0,1
Ppp1r8,Tbpl1,0.0,-1
Irf8,Ifi30,0.0,-1
Hdac3,Rfc3,1.8134635573594248e-295,-1
Hdac3,Lmnb1,2.713435309414077e-273,-1
Hells,Kif22,1.1205548739135143e-265,-1
Hdac3,Alyref,3.522668943986201e-265,-1
Zbtb20,Zbtb16,8.86873660529776e-258,-1
Zbtb16,Zbtb20,8.868736605400777e-258,-1
Gpbp1,Uso1,1.178152016512983e-250,-1
Prdm4,Pcmtd1,1.3565402604605468e-243,1
Mbd3,Gnb2,2.6836114266089775e-243,-1
Gtf2e2,Rbbp7,1.1967954324982557e-233,1
Prdm4,Cdc25b,2.983876386221289e-224,1
Sphk1,Ano6,1.9426803294003967e-199,-1
Suz12,Suco,3.0876854291825777e-196,-1
Apex1,Orc6,1.424055717174406e-193,-1
Dr1,Gorab,6.535328969047113e-192,-1
C1d,Psma5,2.5278673934778926e-190,-1
Apex1,Nup85,1.5759216790548747e-189,-1
Gtf2e2,Rpl15,1.0757908662297221e-188,-1
Apex1,Nop56,2.93353404304846e-179,-1
Hmgn5,Fh1,8.076390943044439e-178,-1
Ifi204,Gpnmb,1.37887997414613e-175,-1
Prdm4,Scp2,1.7376167482590437e-162,1
Trim30a,Slc15a3,8.431246837725979e-162,-1
Mbd3,Scand1,2.602723661151868e-158,-1
Zkscan17,Txndc17,5.568845251215882e-153,-1
Gpbp1,Stag2,8.285838575732011e-153,-1
Csde1,Ak2,1.7822922908178584e-145,-1
Hdac3,Kif22,1.8849557679804707e-141,-1
Atf1,Vbp1,7.009150104816525e-138,-1
Foxm1,Cks2,4.2611358677062424e-137,-1
Nolc1,Ppp1r8,3.1108487526940895e-133,-1
Ppp1r8,Nolc1,3.1108487527462497e-133,-1
Ruvbl2,Fam111a,2.0337122549441823e-131,-1
Atf1,Eif3e,2.117187139228988e-131,-1
Trim30a,Ccr5,5.385315864744102e-131,-1
Pcna,Fam111a,9.181542572034893e-131,-1
Hells,Ccnb1,6.050102144100001e-128,-1
Gabpa,Psmc6,2.0682841875881454e-123,-1
Hmgb1,Cnot6,5.4533917028481e-114,1
Apex1,Rbmxl1,1.0875293853976046e-110,-1
Irf9,H2-D1,3.467103390834965e-110,-1
Nfyc,Rpl15,3.330755703120786e-106,1
Smarce1,Rpl15,1.9829159312583587e-104,-1
Uhrf1,Fam111a,1.1123950671470405e-103,-1
Atf1,Dhx15,1.6758306254309592e-100,-1
Zfpm1,Far1,1.5390588285884451e-99,-1
Creb3l2,Sec24d,1.4634682114520948e-98,-1
Hdac1,Lrwd1,5.091344908234664e-94,-1
Tmpo,Rbl1,6.179457955343565e-94,-1
Carhsp1,Slc30a5,4.871699046404496e-93,-1
Safb,Cdk5rap3,1.129144088482671e-91,-1
Hdac3,Snrk,1.2691054358440475e-91,-1
Sra1,Gnptg,2.4649459997335004e-91,-1
Taf1d,Rbl1,2.548516032567828e-91,-1
Prdm4,Ldhd,5.371043261679091e-91,1
Zfpm1,Slc25a45,8.316435562834403e-91,-1
Atf1,Hnrnpa3,5.6683964412896295e-90,-1
Ndn,H2afy2,2.2938487698397404e-89,-1
Pcna,Lbr,1.2803107044170917e-88,-1
Stat6,Vamp8,1.537824045032758e-88,-1
Sfpq,Cnot6,1.2424955429681973e-85,1
Hmgb2,Fam111a,2.5522294000871283e-85,-1
Hells,Trip13,2.8398372421846594e-84,-1
Apex1,Gart,5.467471370392992e-83,-1
Zfp384,Dnttip1,6.185062177794967e-83,-1
Ppp1r8,Ppp1cc,5.891113157595637e-82,-1
Zbtb20,Lpin1,7.855579389367957e-82,-1
Gtf2b,1110008P14Rik,4.465753087814734e-81,-1
Zbtb20,Apoe,5.449562604349887e-80,-1
Smarce1,Sfr1,1.4499089882599992e-79,-1
Apex1,Nup37,1.146393278095712e-78,-1
Prdm4,Ninj1,3.823022585243872e-77,1
E2f2,Pnpla8,1.3330141206007732e-76,-1
Tcf15,Usp28,3.98478590850508e-76,-1
Klf9,Prpsap1,7.459524418767353e-76,-1
Apex1,Cct2,1.2101395140685835e-75,-1
Elf4,Phax,2.2457737803309144e-75,-1
Mbd3,Mlf2,3.448881575985379e-75,-1
Atf1,Rheb,7.730253424752152e-74,-1
Zfp148,Rhbdf2,1.3304725131831469e-72,-1
Atf1,Zranb2,1.9356021399409173e-72,-1
Hdac1,Donson,2.0716119117996836e-72,-1
Tmpo,Fam111a,2.3908044638398316e-72,-1
Mxd4,Bmp6,2.653089128805124e-72,-1
Ppp1r8,Snrpg,2.08879608535641e-71,-1
Hells,Plk4,4.1587466075791977e-70,-1
Klf15,Ulk2,4.598747058198298e-70,-1
E2f2,Cdc25b,4.820988344966685e-70,-1
Apex1,Cct6a,1.055507104031401e-69,-1
Pcna,Rbl1,1.8423539086165864e-69,-1
Foxm1,Cdt1,3.5893057001186985e-69,-1
Atf1,Wdr3,1.0439435363112886e-68,-1
Trim28,Scp2,2.3385544920379625e-68,-1
Pou2f2,Tgfb1,5.908057469981365e-68,-1
Irf9,Psmb9,1.0826348006435806e-66,-1
Top2a,Rad51ap1,1.3273464081385405e-66,-1
Stat1,Ccr5,1.9836066673816659e-66,-1
