GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11
Adar,0.07606801,0.0017530955,0.11195027,-0.1739454,-0.47875893,-0.20720018,0.11219395,-0.16982467,0.5096909,0.92822385,0.586933,0.64059246
Aebp1,-0.48948437,-0.89027536,-0.39633432,-0.6953468,-0.5149092,-0.836003,0.0114829,0.8215822,-0.40278143,-0.6180353,-0.05580826,-0.44276923
Aebp2,-0.30857688,-0.5246419,0.58351177,0.52241606,0.58351177,0.52241606,0.6776825,0.26380992,0.6182922,0.70971406,-0.21937028,0.20822993
Akna,-0.44276384,-0.50769806,-0.5620552,-0.94143474,-0.79224896,-0.83083487,-0.3182339,-0.61623585,0.18916549,0.3678708,0.47712725,0.92477024
Ankrd1,0.2097933,-0.061829418,-0.5020637,-0.7620283,-0.036161892,-0.27781677,0.35812664,-0.6231792,-1.4994001,0.61109257,-0.4477862,-1.2845426
Apex1,-0.094934404,0.8379957,-0.08465995,0.6800417,-0.015080476,0.69545716,-0.061574765,-0.024597466,0.7630891,-0.50043166,-0.9935182,-0.0040594004
App,-0.5146127,-0.25505,-0.5146127,-0.25505,-0.5146127,-0.25505,-0.5146127,-0.25505,-0.5146127,-0.25505,0.43488282,0.23932539
Arid1a,0.1500667,0.31745452,0.14414231,0.289725,0.21628028,0.3406623,0.3827833,0.64892703,0.05851073,0.26227373,0.33746585,-0.15643184
Arid5a,-0.3116025,-0.48495775,-0.17391671,-0.5391413,-0.3924505,-0.6736459,-0.15055823,0.12161646,-0.13934362,-0.057236865,0.6132257,0.8061092
Arid5b,-0.35801405,0.14765052,-0.35801405,0.14765052,-0.35801405,0.14765052,0.594866,-0.40525866,0.13972598,-0.044877186,0.13972598,-0.044877186
Arnt,0.594866,-0.40525866,0.594866,-0.40525866,0.594866,-0.40525866,0.594866,-0.40525866,0.594866,-0.40525866,-0.3508559,0.07972501
Arrb1,-0.22138895,0.4657706,-0.023468388,-0.15571465,-0.19837135,-0.5255531,-0.044330344,-0.18735798,-0.030668864,-0.08117339,-0.26690313,0.23777674
Atf1,0.20133653,0.027788065,0.20453176,0.3157441,0.6559031,0.70691204,0.4438663,-0.0027673393,0.6396279,0.4783405,0.09742012,0.028792124
Atf3,-0.29502553,-0.56188977,0.55240446,0.4257816,-0.4951806,-0.31628853,-0.37766406,-0.52473366,0.36726618,0.79149675,-0.14339852,-0.10966396
Atf4,0.3660956,-0.23219751,0.3660956,-0.23219751,0.3660956,-0.23219751,-0.69997627,0.30522555,-0.69997627,0.30522555,-0.69997627,0.30522555
Atf5,-0.48370618,0.041473873,-0.45694265,0.100809515,-1.4652056,0.012705728,0.7129996,-0.17478833,0.028741555,0.4708988,-0.5961401,-1.0018469
Atf6b,0.75790966,0.43097705,0.95965284,0.17350993,0.9172348,0.21891366,0.8316254,0.5994929,-0.3007868,-0.3752836,-0.030147223,-0.27030683
Atoh8,-0.16608864,0.3261786,-0.11762244,0.30119723,0.43866348,0.15551934,-0.118908845,0.61740714,-0.18999523,0.11742012,0.0868775,0.02118218
