TF,PValue,Label
Apex1,6.75,1
Runx1,9.25,1
Mlx,11.75,1
Pml,95.0,1
Ctnnb1,97.0,1
Irf5,97.0,1
Uhrf1,97.5,1
Ilf3,98.25,1
Ncor2,99.25,1
Nfkb1,106.25,1
Srebf2,107.25,1
Epas1,165.25,1
Tbx3,166.5,1
Klf4,169.75,1
Pparg,193.0,1
Ikzf1,193.25,1
Stat3,195.75,1
Ciita,198.5,1
Hmgb1,253.25,1
Ppara,257.75,1
Clock,265.75,1
Fos,344.75,1
Smad1,352.25,1
Tnf,356.0,1
Smad3,375.0,1
Yap1,375.25,1
Gata4,434.25,1
Smad4,435.0,1
Smarca4,446.25,1
Pcna,5.0,0
Phf5a,8.25,0
Dnmt1,97.5,0
Sphk1,104.75,0
Trp53,109.0,0
Dnmt3a,195.25,0
Creb3,202.0,0
Nfatc1,252.75,0
Rfc1,278.75,0
Thoc1,280.0,0
Atf6b,352.25,0
Pnn,355.25,0
Nfatc4,375.5,0
Tfeb,376.5,0
Nr0b2,378.25,0
Rbpj,439.0,0
Ppargc1a,443.0,0
