pathway,nums,percent,pvalue
Alzheimer's disease,175,0.49142857142857144,0.0
Carbon metabolism,126,0.36507936507936506,0.0
Citrate cycle (TCA cycle),32,0.5625,0.0
"F-type ATPase, eukaryotes",17,0.35294117647058826,0.0
Glutathione metabolism,74,0.04054054054054054,0.0
Huntington's disease,194,0.4742268041237113,0.0
Lysine degradation,67,0.1044776119402985,0.0
Metabolic pathways,1315,0.3155893536121673,0.0
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,16,0.625,0.0
Non-alcoholic fatty liver disease (NAFLD),151,0.5165562913907285,0.0
Oxidative phosphorylation,151,0.4304635761589404,0.0
Parkinson's disease,144,0.5347222222222222,0.0
Propanoate metabolism,34,0.2647058823529412,0.0
Pyruvate metabolism,44,0.4318181818181818,0.0
Chemical carcinogenesis - DNA adducts,84,0.03571428571428571,0.0
Chemical carcinogenesis - reactive oxygen species,223,0.4304932735426009,0.0
Parkinson disease,264,0.4015151515151515,0.0
Amyotrophic lateral sclerosis,369,0.3604336043360434,0.0
Huntington disease,302,0.3675496688741722,0.0
Prion disease,267,0.4344569288389513,0.0
Pathways of neurodegeneration - multiple diseases,471,0.3503184713375796,0.0
Dilated cardiomyopathy,94,0.18085106382978725,0.0
Non-alcoholic fatty liver disease,156,0.532051282051282,0.0
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",14,0.5714285714285714,0.001
Fatty acid degradation,53,0.1320754716981132,0.001
Alzheimer disease,383,0.33159268929503916,0.001
Diabetic cardiomyopathy,211,0.4786729857819905,0.001
Gastric acid secretion,75,0.09333333333333334,0.002
Mitophagy - animal,68,0.20588235294117646,0.002
Retrograde endocannabinoid signaling,150,0.30666666666666664,0.002
"Citrate cycle (TCA cycle, Krebs cycle)",24,0.5833333333333334,0.003
Drug metabolism - cytochrome P450,72,0.041666666666666664,0.003
Thermogenesis,231,0.3852813852813853,0.003
Alcoholic liver disease,141,0.03546099290780142,0.003
2-Oxocarboxylic acid metabolism,34,0.47058823529411764,0.004
Tryptophan metabolism,54,0.16666666666666666,0.004
Vascular smooth muscle contraction,145,0.1724137931034483,0.004
AGE-RAGE signaling pathway in diabetic complications,101,0.0297029702970297,0.005
AMPK signaling pathway,128,0.0625,0.006
