pathway,nums,percent,pvalue
Carbon metabolism,126,0.47619047619047616,0.0
Cytokine-cytokine receptor interaction,326,0.24539877300613497,0.0
DNA replication,35,1.4285714285714286,0.0
ECM-receptor interaction,89,0.4943820224719101,0.0
Fatty acid elongation,29,0.27586206896551724,0.0
Fatty acid metabolism,64,0.4375,0.0
Focal adhesion,204,0.6323529411764706,0.0
Huntington's disease,194,0.4484536082474227,0.0
Metabolic pathways,1315,0.3832699619771863,0.0
Mismatch repair,22,1.3636363636363635,0.0
Non-alcoholic fatty liver disease (NAFLD),151,0.44370860927152317,0.0
Nuclear pore complex,41,0.7317073170731707,0.0
Nucleotide excision repair,58,1.0,0.0
Parkinson's disease,144,0.2777777777777778,0.0
Protein digestion and absorption,110,0.33636363636363636,0.0
Pyrimidine metabolism,107,0.5420560747663551,0.0
Ribosome biogenesis in eukaryotes,125,0.392,0.0
RNA transport,167,0.6586826347305389,0.0
TGF-beta signaling pathway,112,0.5357142857142857,0.0
Nucleotide metabolism,84,0.5119047619047619,0.0
Biosynthesis of cofactors,152,0.3026315789473684,0.0
Nucleocytoplasmic transport,117,0.7008547008547008,0.0
Viral protein interaction with cytokine and cytokine receptor,95,0.24210526315789474,0.0
"Parathyroid hormone synthesis, secretion and action",108,0.35185185185185186,0.0
Thermogenesis,231,0.4805194805194805,0.0
Choline metabolism in cancer,98,0.2755102040816326,0.0
Amoebiasis,107,0.42990654205607476,0.0
Parkinson disease,264,0.35984848484848486,0.0
Amyotrophic lateral sclerosis,369,0.5257452574525745,0.0
Huntington disease,302,0.4271523178807947,0.0
Non-alcoholic fatty liver disease,156,0.47435897435897434,0.0
Antigen processing and presentation,97,0.3917525773195876,0.001
Base excision repair,49,0.673469387755102,0.001
Ether lipid metabolism,48,0.08333333333333333,0.001
Propanoate metabolism,34,0.47058823529411764,0.001
Influenza A,173,0.5491329479768786,0.001
Homologous recombination,42,0.38095238095238093,0.002
Phospholipase D signaling pathway,150,0.36,0.002
Alzheimer's disease,175,0.41714285714285715,0.003
Cell cycle,157,0.7133757961783439,0.003
Ferroptosis,42,0.40476190476190477,0.003
Protein processing in endoplasmic reticulum,183,0.14207650273224043,0.003
Ras signaling pathway,242,0.3347107438016529,0.003
Alzheimer disease,383,0.391644908616188,0.003
Alcoholism,205,0.17073170731707318,0.003
Circadian rhythm,37,0.21621621621621623,0.004
Oxidative phosphorylation,151,0.2913907284768212,0.004
Purine metabolism,185,0.40540540540540543,0.004
Motor proteins,196,0.5204081632653061,0.004
Pathways in cancer,543,0.49171270718232046,0.004
Prion disease,267,0.5131086142322098,0.004
GINS complex,4,2.0,0.005
Cholesterol metabolism,50,0.06,0.005
beta-Alanine metabolism,37,0.2972972972972973,0.006
Human T-cell leukemia virus 1 infection,249,0.5943775100401606,0.006
"Valine, leucine and isoleucine degradation",57,0.47368421052631576,0.007
Spliceosome,186,0.5645161290322581,0.008
Hippo signaling pathway,158,0.2974683544303797,0.009
Arachidonic acid metabolism,95,0.08421052631578947,0.01
Bacterial invasion of epithelial cells,76,0.39473684210526316,0.01
Primary immunodeficiency,36,0.3333333333333333,0.01
Arrhythmogenic right ventricular cardiomyopathy,77,0.16883116883116883,0.01
Drug metabolism - other enzymes,92,0.33695652173913043,0.012
"Fatty acid biosynthesis, elongation, endoplasmic reticulum",13,0.23076923076923078,0.012
Neutrophil extracellular trap formation,208,0.30288461538461536,0.012
Proteoglycans in cancer,205,0.5560975609756098,0.012
Endocytosis,297,0.43434343434343436,0.013
Retrograde endocannabinoid signaling,150,0.19333333333333333,0.013
SNARE interactions in vesicular transport,33,0.15151515151515152,0.013
Butanoate metabolism,28,0.21428571428571427,0.014
Nicotinate and nicotinamide metabolism,45,0.13333333333333333,0.015
"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA",11,0.45454545454545453,0.016
Wnt signaling pathway,180,0.18888888888888888,0.018
Hypertrophic cardiomyopathy,91,0.4175824175824176,0.018
Hippo signaling pathway -multiple species,26,0.2692307692307692,0.02
p53 signaling pathway,74,0.581081081081081,0.02
Ribosome,187,0.24064171122994651,0.02
Breast cancer,147,0.2585034013605442,0.02
2-Oxocarboxylic acid metabolism,34,0.14705882352941177,0.021
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",27,0.14814814814814814,0.022
Hippo signaling pathway - multiple species,27,0.25925925925925924,0.022
Cytochrome bc1 complex,10,0.3,0.023
Salivary secretion,88,0.11363636363636363,0.023
"Spliceosome, 35S U5-snRNP",36,0.6111111111111112,0.023
Graft-versus-host disease,62,0.3387096774193548,0.023
Viral carcinogenesis,228,0.5526315789473685,0.024
PI3K-Akt signaling pathway,373,0.46380697050938335,0.025
Salmonella infection,253,0.5296442687747036,0.026
Malaria,57,0.49122807017543857,0.026
Human papillomavirus infection,361,0.4709141274238227,0.027
Fat digestion and absorption,43,0.06976744186046512,0.031
Arrhythmogenic right ventricular cardiomyopathy (ARVC),72,0.16666666666666666,0.033
Chemical carcinogenesis - reactive oxygen species,223,0.452914798206278,0.034
Chronic myeloid leukemia,76,0.42105263157894735,0.035
ABC transporters,52,0.11538461538461539,0.037
Steroid biosynthesis,20,0.15,0.037
Leukocyte transendothelial migration,121,0.5289256198347108,0.038
Oocyte meiosis,123,0.37398373983739835,0.039
Dilated cardiomyopathy,94,0.30851063829787234,0.039
BRCA1-associated genome surveillance complex (BASC),16,0.6875,0.04
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",10,0.3,0.04
Glyoxylate and dicarboxylate metabolism,32,0.09375,0.041
"Citrate cycle (TCA cycle, Krebs cycle)",24,0.125,0.043
Necroptosis,175,0.4057142857142857,0.043
Melanoma,72,0.3194444444444444,0.044
Intestinal immune network for IgA production,45,0.4,0.045
Fatty acid degradation,53,0.37735849056603776,0.046
Activin signaling,10,0.3,0.047
Human immunodeficiency virus 1 infection,239,0.5313807531380753,0.05
Biosynthesis of unsaturated fatty acids,36,0.2777777777777778,0.051
Complement and coagulation cascades,94,0.19148936170212766,0.051
ATP-dependent chromatin remodeling,136,0.38235294117647056,0.051
Tyrosine metabolism,41,0.07317073170731707,0.053
"Spliceosome, U4/U6.U5 tri-snRNP",32,0.4375,0.054
Relaxin signaling pathway,129,0.3798449612403101,0.054
RF-C complex,5,1.2,0.055
JAK-STAT signaling pathway,171,0.2982456140350877,0.055
Glutamatergic synapse,116,0.07758620689655173,0.056
"Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA",4,0.75,0.056
Metabolism of xenobiotics by cytochrome P450,75,0.17333333333333334,0.058
Alcoholic liver disease,141,0.3971631205673759,0.062
Hippo signaling,15,0.2,0.064
Lysine degradation,67,0.2537313432835821,0.064
Primary bile acid biosynthesis,18,0.16666666666666666,0.064
GnRH signaling pathway,90,0.35555555555555557,0.065
Progesterone-mediated oocyte maturation,92,0.4673913043478261,0.07
Glucagon signaling pathway,108,0.3055555555555556,0.072
Starch and sucrose metabolism,36,0.08333333333333333,0.075
RNA degradation,90,0.24444444444444444,0.076
Efferocytosis,155,0.2903225806451613,0.076
Pancreatic secretion,116,0.14655172413793102,0.078
Jak-STAT signaling pathway,159,0.29559748427672955,0.079
Peroxisome,87,0.3448275862068966,0.08
"Spliceosome, U2-snRNP",21,0.7619047619047619,0.085
Tryptophan metabolism,54,0.2037037037037037,0.086
Herpes simplex virus 1 infection,458,0.24672489082969432,0.086
Synaptic vesicle cycle,77,0.16883116883116883,0.087
