pathway,nums,percent,pvalue
IL-17 signaling pathway,93,1.021505376344086,0.39
Chagas disease (American trypanosomiasis),101,1.0198019801980198,0.461
TNF signaling pathway,115,0.9565217391304348,0.478
Chagas disease,103,0.9902912621359223,0.492
Toll-like receptor signaling pathway,104,0.8461538461538461,0.514
MAPK signaling pathway,252,0.6865079365079365,0.516
HTLV-I infection,283,0.7773851590106007,0.537
"Parathyroid hormone synthesis, secretion and action",108,0.7777777777777778,0.541
Amphetamine addiction,69,0.7391304347826086,0.553
mmuK signaling pathway,301,0.6511627906976745,0.557
Osteoclast differentiation,140,0.8,0.565
"Growth hormone synthesis, secretion and action",117,0.8205128205128205,0.569
Rheumatoid arthritis,87,0.8850574712643678,0.573
Yersinia infection,135,0.9703703703703703,0.591
Lipid and atherosclerosis,216,0.7037037037037037,0.594
Circadian entrainment,100,0.55,0.614
Human T-cell leukemia virus 1 infection,249,0.8714859437751004,0.637
Estrogen signaling pathway,134,0.5970149253731343,0.641
GnRH signaling pathway,90,0.8111111111111111,0.655
Th17 cell differentiation,107,0.8691588785046729,0.655
Kaposi sarcoma-associated herpesvirus infection,223,0.7354260089686099,0.661
AGE-RAGE signaling pathway in diabetic complications,101,1.2376237623762376,0.663
Pertussis,77,1.025974025974026,0.664
Choline metabolism in cancer,98,0.6530612244897959,0.665
Leishmaniasis,70,1.2714285714285714,0.674
PD-L1 expression and PD-1 checkpoint pathway in cancer,88,0.9659090909090909,0.682
B cell receptor signaling pathway,85,0.8352941176470589,0.683
cAMP signaling pathway,224,0.5803571428571429,0.686
Cortisol synthesis and secretion,72,0.7222222222222222,0.686
Chemokine signaling pathway,204,0.6813725490196079,0.687
Succinate dehydrogenase (ubiquinone),4,1.0,0.69
Th1 and Th2 cell differentiation,89,0.7191011235955056,0.69
Fluid shear stress and atherosclerosis,147,0.9523809523809523,0.691
Cocaine addiction,48,0.6458333333333334,0.701
Triacylglycerol biosynthesis,16,0.4375,0.71
Oxytocin signaling pathway,154,0.7467532467532467,0.714
Sphingolipid metabolism,57,0.49122807017543857,0.723
Chemical carcinogenesis - receptor activation,225,0.6977777777777778,0.726
T cell receptor signaling pathway,125,0.864,0.733
Prion diseases,34,0.7352941176470589,0.739
"Pyruvate oxidation, pyruvate => acetyl-CoA",5,0.8,0.742
Endocrine resistance,93,1.010752688172043,0.742
Apoptosis,137,1.051094890510949,0.747
Salmonella infection,253,0.849802371541502,0.749
Dopaminergic synapse,138,0.5507246376811594,0.75
Cushing syndrome,162,0.7716049382716049,0.75
BER complex,10,1.6,0.752
Signaling pathways regulating pluripotency of stem cells,141,0.6808510638297872,0.753
C-type lectin receptor signaling pathway,112,0.8035714285714286,0.753
Viral protein interaction with cytokine and cytokine receptor,95,0.6947368421052632,0.757
Relaxin signaling pathway,129,0.8217054263565892,0.761
Aldosterone synthesis and secretion,105,0.6190476190476191,0.764
NF-kappa B signaling pathway,114,0.8508771929824561,0.766
Alcoholic liver disease,141,0.950354609929078,0.766
Hepatitis B,163,1.0920245398773005,0.767
Breast cancer,147,0.6802721088435374,0.768
Measles,145,0.9793103448275862,0.77
Pathways in cancer,543,0.578268876611418,0.773
Ribosome biogenesis in eukaryotes,125,0.768,0.779
Colorectal cancer,88,1.2613636363636365,0.783
"Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4",22,0.22727272727272727,0.786
Cholinergic synapse,114,0.6403508771929824,0.789
Sphingosine biosynthesis,17,0.5294117647058824,0.791
"beta-Oxidation, acyl-CoA synthesis",8,0.375,0.793
Cytokine-cytokine receptor interaction,326,0.41411042944785276,0.793
Focal adhesion,204,0.8431372549019608,0.795
Pentose and glucuronate interconversions,37,0.08108108108108109,0.795
Nitrogen metabolism,17,0.23529411764705882,0.8
Complement and coagulation cascades,94,0.6276595744680851,0.801
ECS complex,12,0.3333333333333333,0.802
"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",11,0.6363636363636364,0.804
Human immunodeficiency virus 1 infection,239,0.7949790794979079,0.807
Glycosaminoglycan degradation,21,0.19047619047619047,0.808
Proteasome,47,1.425531914893617,0.808
Nucleocytoplasmic transport,117,1.0427350427350428,0.808
MAPK (ERK5) signaling,4,0.75,0.809
Inflammatory mediator regulation of TRP channels,127,0.5905511811023622,0.81
Herpes simplex infection,215,0.7953488372093023,0.812
Cul3-SPOP complex,5,0.6,0.813
RNA transport,167,0.9700598802395209,0.813
Vascular smooth muscle contraction,145,0.7034482758620689,0.814
Legionellosis,60,1.2166666666666666,0.815
"Nucleotide sugar biosynthesis, eukaryotes",9,0.4444444444444444,0.816
Human cytomegalovirus infection,255,0.7803921568627451,0.817
ESCRT-III complex,11,0.45454545454545453,0.819
Porphyrin metabolism,43,0.3488372093023256,0.819
Renin secretion,76,0.39473684210526316,0.821
Hippo signaling pathway,158,0.8291139240506329,0.823
PPAR signaling pathway,90,0.4777777777777778,0.824
Prolactin signaling pathway,74,0.8243243243243243,0.824
Arrhythmogenic right ventricular cardiomyopathy (ARVC),72,0.75,0.825
Spliceosome,186,0.7741935483870968,0.827
RNA polymerase,36,1.0,0.828
Toxoplasmosis,109,1.073394495412844,0.828
Apelin signaling pathway,145,0.7931034482758621,0.829
JAK-STAT signaling pathway,171,0.6198830409356725,0.829
Porphyrin and chlorophyll metabolism,41,0.4146341463414634,0.83
JAK-STAT signaling,19,1.894736842105263,0.832
Basal transcription factors,45,1.1111111111111112,0.833
Renin-angiotensin system,37,0.35135135135135137,0.833
Amoebiasis,107,0.8504672897196262,0.837
Immunoproteasome,18,2.388888888888889,0.84
Oxidative phosphorylation,151,0.5562913907284768,0.84
Methionine salvage pathway,11,0.5454545454545454,0.842
ErbB signaling pathway,86,0.5813953488372093,0.844
Ribosome,187,0.6844919786096256,0.844
Arrhythmogenic right ventricular cardiomyopathy,77,0.7012987012987013,0.844
Insulin signaling pathway,143,0.6923076923076923,0.846
"Proteasome, 19S regulatory particle (PA700)",19,0.8421052631578947,0.846
Taste transduction,92,0.11956521739130435,0.849
Renal cell carcinoma,68,0.9411764705882353,0.849
Jak-STAT signaling pathway,159,0.6163522012578616,0.85
PI3K-Akt signaling pathway,373,0.6273458445040214,0.851
Glycerolipid metabolism,64,0.359375,0.852
NOD-like receptor signaling pathway,220,0.6636363636363637,0.853
Folate biosynthesis,26,0.46153846153846156,0.857
Huntington disease,302,0.6688741721854304,0.859
Nuclear pore complex,41,1.5609756097560976,0.86
Notch signaling,17,0.29411764705882354,0.862
Sphingolipid signaling pathway,127,0.8188976377952756,0.863
ECM-receptor interaction,89,1.0,0.864
"Ribosome, eukaryotes",98,1.0204081632653061,0.864
Cap binding complex,2,1.5,0.865
Other types of O-glycan biosynthesis,43,0.5813953488372093,0.865
Coronavirus disease - COVID-19,249,0.8594377510040161,0.865
Nicotinate and nicotinamide metabolism,45,0.4888888888888889,0.869
Pyrimidine metabolism,107,0.9626168224299065,0.869
Parkinson's disease,144,0.7083333333333334,0.871
Metabolism of xenobiotics by cytochrome P450,75,0.6666666666666666,0.873
Amyotrophic lateral sclerosis,369,0.6693766937669376,0.873
"Exosome, eukaryotes",10,3.4,0.874
Ovarian steroidogenesis,65,0.46153846153846156,0.874
Origin recognition complex,6,1.0,0.876
Serotonergic synapse,133,0.2857142857142857,0.877
Neuroactive ligand-receptor interaction,393,0.15776081424936386,0.879
mRNA surveillance pathway,105,0.9047619047619048,0.881
"Proteasome, 20S core particle",15,0.9333333333333333,0.882
H/ACA ribonucleoprotein complex,4,3.0,0.883
Dorso-ventral axis formation,26,0.9230769230769231,0.884
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,1.0,0.884
RIG-I-like receptor signaling pathway,73,0.7945205479452054,0.884
Selenocompound metabolism,18,0.6666666666666666,0.884
Terpenoid backbone biosynthesis,24,0.125,0.884
Notch signaling pathway,63,1.0952380952380953,0.887
