term,,,adj_p_value
"Ribosome, eukaryotes",,,4.690238999737175e-43
Ribosome,,,2.202197465033075e-33
Parkinson's disease,,,2.449425504381825e-30
Oxidative phosphorylation,,,3.942721404376263e-30
Alzheimer's disease,,,9.622053321409914e-29
Huntington's disease,,,8.691255630676832e-28
Coronavirus disease - COVID-19,,,1.815079099798127e-27
Diabetic cardiomyopathy,,,1.5856618162370472e-23
Non-alcoholic fatty liver disease (NAFLD),,,3.8780876661073554e-23
Non-alcoholic fatty liver disease,,,6.349405278953306e-23
Chemical carcinogenesis - reactive oxygen species,,,6.03589709432229e-20
Thermogenesis,,,1.0586110722532583e-19
Parkinson disease,,,1.2318128861537545e-18
Prion disease,,,1.389117378824594e-18
Huntington disease,,,1.319454251926381e-17
Amyotrophic lateral sclerosis,,,2.2177222171606963e-17
Metabolic pathways,,,5.499060513247657e-17
Cardiac muscle contraction,,,2.759224614051354e-16
Alzheimer disease,,,9.066694694747674e-16
Pathways of neurodegeneration - multiple diseases,,,2.1240977477030906e-15
Cell cycle,,,6.211156723614873e-15
Carbon metabolism,,,2.974698805930809e-12
Cytochrome bc1 complex,,,3.8845713413820845e-12
Nucleocytoplasmic transport,,,4.945051611658435e-10
Proteasome,,,1.6143148415217824e-09
Dilated cardiomyopathy,,,2.166951227003837e-09
Hypertrophic cardiomyopathy,,,2.166951227003837e-09
Hypertrophic cardiomyopathy (HCM),,,2.166951227003837e-09
Spliceosome,,,1.2810387395041806e-08
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,,,2.050048166648297e-08
Citrate cycle (TCA cycle),,,3.435917595634862e-08
Adrenergic signaling in cardiomyocytes,,,3.770873997030234e-08
Retrograde endocannabinoid signaling,,,3.8345007345626476e-08
"Citrate cycle (TCA cycle, Krebs cycle)",,,1.0120658126782727e-07
MCM complex,,,5.490334383078447e-07
Progesterone-mediated oocyte maturation,,,6.159585875185875e-07
Oocyte meiosis,,,8.3672021379658e-07
Immunoproteasome,,,8.992167159588707e-07
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",,,1.0302786324270637e-06
RNA transport,,,1.2470631342559274e-06
Cell cycle - G2/M transition,,,2.366431763560041e-06
"F-type ATPase, eukaryotes",,,2.68138655776353e-06
Basal transcription factors,,,2.97701765803625e-06
