term,,,adj_p_value
Coronavirus disease - COVID-19,,,2.33E-22
"Ribosome, eukaryotes",,,2.33E-22
Diabetic cardiomyopathy,,,3.36E-16
RNA transport,,,8.34E-16
Huntington's disease,,,1.71E-15
Non-alcoholic fatty liver disease (NAFLD),,,6.46E-15
Non-alcoholic fatty liver disease,,,1.38E-14
Cell cycle,,,1.89E-14
Prion disease,,,3.62E-14
Alzheimer's disease,,,4.24E-14
Amyotrophic lateral sclerosis,,,3.89E-13
Parkinson's disease,,,5.75E-13
Yersinia infection,,,5.85E-13
Metabolic pathways,,,9.16E-13
Spliceosome,,,1.94E-12
Nucleocytoplasmic transport,,,8.87E-12
Chemical carcinogenesis - reactive oxygen species,,,1.53E-11
Hepatitis B,,,1.75E-11
Salmonella infection,,,6.52E-11
Parkinson disease,,,1.71E-10
Ribosome,,,1.86E-10
Huntington disease,,,2.19E-10
Human T-cell leukemia virus 1 infection,,,3.30E-10
Focal adhesion,,,4.03E-10
Influenza A,,,4.03E-10
Pathways in cancer,,,4.03E-10
Osteoclast differentiation,,,4.16E-10
Pathways of neurodegeneration - multiple diseases,,,1.54E-09
Fc gamma R-mediated phagocytosis,,,2.44E-09
Human cytomegalovirus infection,,,2.92E-09
Thermogenesis,,,4.18E-09
Oxidative phosphorylation,,,5.16E-09
Toxoplasmosis,,,6.53E-09
Epstein-Barr virus infection,,,7.43E-09
Leishmaniasis,,,8.17E-09
Alzheimer disease,,,8.68E-09
HTLV-I infection,,,8.77E-09
Tuberculosis,,,1.86E-08
Cardiac muscle contraction,,,2.00E-08
Platelet activation,,,2.32E-08
Viral carcinogenesis,,,2.32E-08
"Spliceosome, U2-snRNP",,,2.99E-08
DNA replication,,,4.23E-08
Regulation of actin cytoskeleton,,,4.97E-08
Chemokine signaling pathway,,,7.53E-08
Herpes simplex infection,,,7.53E-08
Apoptosis,,,8.25E-08
Alcoholic liver disease,,,9.62E-08
Proteoglycans in cancer,,,2.20E-07
Hepatitis C,,,2.81E-07
Chronic myeloid leukemia,,,4.22E-07
NOD-like receptor signaling pathway,,,4.95E-07
Measles,,,7.76E-07
Chagas disease (American trypanosomiasis),,,9.84E-07
TNF signaling pathway,,,1.13E-06
mRNA surveillance pathway,,,1.18E-06
Carbon metabolism,,,1.29E-06
Progesterone-mediated oocyte maturation,,,1.29E-06
Oocyte meiosis,,,1.47E-06
Chagas disease,,,1.71E-06
Nucleotide excision repair,,,1.71E-06
mmuK signaling pathway,,,1.76E-06
Adrenergic signaling in cardiomyocytes,,,1.80E-06
Human immunodeficiency virus 1 infection,,,1.92E-06
Lipid and atherosclerosis,,,1.92E-06
MAPK signaling pathway,,,2.46E-06
Fluid shear stress and atherosclerosis,,,2.73E-06
C-type lectin receptor signaling pathway,,,3.02E-06
Bacterial invasion of epithelial cells,,,4.01E-06
Propanoate metabolism,,,4.01E-06
