tf,p-value
Rxrg,0.0
Sod2,0.0
Esrrg,0.0
Ppargc1a,0.0
Ptges2,0.0002
Apex1,0.0002
Ankrd1,0.0004
Gabpa,0.0009
Irf8,0.0015
Zfp120,0.002
Fos,0.0031
Sox17,0.0032
Sox18,0.0041
Thra,0.0078
Ddx1,0.0087
Smyd1,0.0094
Pbrm1,0.0116
Rbck1,0.0125
Nostrin,0.0147
Scx,0.0173
Hdac1,0.0176
Deaf1,0.0208
Klf6,0.0224
Edf1,0.0245
Adar,0.0255
Fosb,0.0257
Stat3,0.0258
Meox2,0.0268
Meox1,0.0275
Hhex,0.0293
Nfib,0.0363
Erg,0.0383
Rbbp5,0.0422
Foxs1,0.0468
Rps3,0.0488
Sox4,0.0519
Cenpb,0.0561
Ctnnb1,0.0603
Ppara,0.0648
Nr3c2,0.0715
Cry2,0.0823
Prrx1,0.0849
Creb3l2,0.0913
E2f1,0.0949
Cc2d1a,0.0984
Tbx20,0.1277
Rela,0.1439
Akna,0.1504
Trim28,0.151
Srebf2,0.167
Mafk,0.1691
Nr1d1,0.1747
Nfya,0.1791
Mta2,0.1824
Gpbp1,0.1828
Pparg,0.184
Hnrnpk,0.1846
Ruvbl2,0.1877
Elf1,0.2001
Ilf3,0.2061
Zfp36,0.2104
Atf3,0.212
Gata2,0.2198
Nr4a1,0.2226
Tbx2,0.2363
E2f2,0.2432
Rnf4,0.2467
Zfp148,0.2471
Zbtb42,0.2473
Rest,0.272
Men1,0.288
Tcf21,0.3221
Arnt,0.3242
Phf5a,0.3246
Spata24,0.326
Nfe2l1,0.3262
Klf16,0.3278
Gata4,0.3281
Esrra,0.3292
Hltf,0.3293
Med6,0.3298
Egr1,0.3299
Irf3,0.331
Atf4,0.331
Lmo4,0.3311
Tead3,0.3312
Zfp281,0.3317
Zfx,0.3317
Yap1,0.3326
Epas1,0.3327
Hlf,0.3328
Brd4,0.3331
Nfatc4,0.3339
Tardbp,0.334
Klf15,0.3343
Tbx3,0.3344
Sox9,0.3354
Klf4,0.3355
Zfp768,0.3355
Runx1,0.3355
Sphk1,0.3355
Pias4,0.3357
Rnf6,0.3361
Etv3,0.3364
Maf1,0.3365
Mta3,0.337
App,0.3372
Egr2,0.3374
Foxp1,0.3375
Zbtb20,0.3377
Arid5b,0.3378
Junb,0.3391
Rarg,0.3396
Arid5a,0.341
Drap1,0.3433
Nono,0.3442
Taf8,0.3503
Nfkb1,0.3543
Trim27,0.3691
Sarnp,0.3913
Purb,0.4055
Cnbp,0.4168
Taf1d,0.423
Mafb,0.4233
Zfp217,0.4242
Tcea1,0.4391
Irx3,0.44
Nfyb,0.4556
Nr1d2,0.4777
Trp53,0.4795
Nr3c1,0.4817
Tada2a,0.4892
Sox7,0.4983
Rbmxl1,0.5175
Relb,0.5277
Clock,0.5431
Ldb1,0.5631
Pa2g4,0.5677
Trim30a,0.573
Lrrfip1,0.5788
Sp1,0.5823
Topors,0.5866
Pcna,0.6011
Dnajc2,0.6067
Tbl1xr1,0.6154
Sp100,0.6162
Fosl2,0.6229
Gtf2b,0.6236
Fubp1,0.641
Jun,0.6537
Kdm1a,0.6605
Creb3l1,0.661
Tcf15,0.6617
Tfeb,0.6626
Nr1h3,0.6627
Cbfb,0.6643
Basp1,0.6651
Taf11,0.6652
Ppp1r8,0.6653
Top2a,0.6662
Smarca5,0.6665
Kdm6b,0.6666
Elk3,0.6668
Klf9,0.6674
Naca,0.6677
Bclaf1,0.668
Zhx1,0.6684
Snai1,0.6684
Smarca4,0.6688
Nfix,0.6692
Smarca2,0.67
E2f3,0.6705
Hmgb2,0.6712
Prox1,0.6715
Smarce1,0.672
Foxm1,0.6726
Sub1,0.6754
Irx1,0.6777
Phb,0.6818
Csrnp1,0.7004
Irf5,0.7033
Zbtb16,0.706
Mybl2,0.7151
Stat6,0.7246
Cdk9,0.7335
Tfdp1,0.7349
Tcea3,0.7365
Tgif1,0.7425
Mbd3,0.7559
Npm1,0.7659
Stat1,0.7683
Tmf1,0.7758
Gtf2f2,0.7847
Sra1,0.7961
Psmc3ip,0.802
Mybbp1a,0.8111
Heyl,0.8177
Nolc1,0.8208
Pnn,0.8238
Snai2,0.824
Prdx5,0.8429
Mier1,0.8494
Bahd1,0.8663
Nfe2l2,0.884
Ssrp1,0.8848
Cebpb,0.897
Set,0.8991
Ikzf1,0.9138
Rbbp8,0.9283
Tcf3,0.9336
Ddx58,0.9417
Ubp1,0.9534
Hdac2,0.9696
Ilf2,0.9698
Ets2,0.9752
Cic,0.9814
Nr1h2,0.9847
Atf6b,1.0
Mef2d,1.0
Taf6l,1.0
Hsf1,1.0
Bcl3,1.0
Trim16,1.0
Zbtb7a,1.0
Zbtb7b,1.0
Sox12,1.0
Twist1,1.0
Srrt,1.0
Rcor2,1.0
Irf9,1.0
Jdp2,1.0
Camta2,1.0
Zfp511,1.0
Ezh2,1.0
Gata6,1.0
Chd4,1.0
Nr4a3,1.0
Uhrf1,1.0
Nat14,1.0
Pus1,1.0
