tf,p-value
Runx3,0.0
E2f1,0.0
Relb,0.0
Npm1,0.0
Top2a,0.0
Yap1,0.0
Dnmt1,0.0
Ikzf1,0.0
Gtf2f1,0.0
Akna,0.0
Ilf2,0.0
Ezh2,0.0
Nfatc1,0.0
Stat3,0.0
E2f6,0.0
Mybbp1a,0.0
Foxm1,0.0
Trim28,0.0
Elf1,0.0
Smarcc1,0.0
Hdac3,0.0
Stat6,0.0
Ssrp1,0.0
Apex1,0.0
Crebzf,0.0
Mybl2,0.0
Hells,0.0
Nr1h2,0.0
Gata6,0.0
Ndn,0.0
Uhrf1,0.0
Hmg20b,0.0
Rbmxl1,0.0
Nfkb1,0.0
Atf6b,0.0
Prdm4,0.0
Tnf,0.0
Hdac1,0.0
Arid5a,0.0
Sp100,0.0
Cxxc1,0.0
Irf9,0.0
Mafb,0.0
Hdac2,0.0
Ldb1,0.0
Pcna,0.0
Stat1,0.0
Etv3,0.0
E2f4,0.0
Taf6l,0.0
Mbd3,0.0
Klf9,0.0
Sfpq,0.0
Batf,0.0
Tfdp1,0.0
Kdm2a,0.0
Pou2f2,0.0
Set,0.0
Zbtb20,0.0
Ddx58,0.0
Klf6,0.0
Gtf2b,0.0
Taf1b,0.0
Tada2a,0.0
Trim30a,0.0
Tbx20,0.0001
Fli1,0.0001
Ruvbl2,0.0001
Hmgb2,0.0001
Gtf2f2,0.0001
Phb,0.0001
Nolc1,0.0001
Kdm1a,0.0002
Rbck1,0.0002
Epas1,0.0002
Pparg,0.0003
Tmf1,0.0004
Ciita,0.0004
Gata4,0.0005
Tfeb,0.0005
Drap1,0.0005
Hand2,0.0005
Hsf1,0.0006
Taf2,0.0008
Atf3,0.0009
Zfp36,0.0011
Taf11,0.0012
Pa2g4,0.0012
Irf8,0.0014
Spata24,0.0017
Adar,0.0019
Med6,0.002
Fubp1,0.0021
Thra,0.0024
Cry2,0.0029
Ptges2,0.0032
Mta1,0.0044
Runx1,0.0045
Lyl1,0.0051
Zfp395,0.0057
Zeb2,0.0059
Mier1,0.006
Smyd1,0.0064
Phf5a,0.0067
Tead2,0.0069
Purb,0.007
Foxk2,0.0071
Hhex,0.0075
Srebf2,0.0077
Hic1,0.0083
Rfx1,0.011
Klf13,0.0114
Msl3,0.0121
Egr1,0.0129
Zbtb7b,0.0147
Mafk,0.0155
Zfp384,0.0175
Trim27,0.0179
Heyl,0.0179
Rxrg,0.0184
Edf1,0.0207
Ppp1r8,0.0215
Sox17,0.0244
Ddx1,0.0249
Maf1,0.0275
Ogg1,0.0282
Foxn2,0.0305
Ilf3,0.0317
Irf7,0.034
Topors,0.0349
Zbtb16,0.0385
Taf13,0.0389
Sod2,0.041
Lmo2,0.0435
Taf10,0.0437
Cggbp1,0.0468
Dnmt3a,0.0492
Nfib,0.0538
Nat14,0.0541
Mta3,0.0551
Sox9,0.0559
Sarnp,0.0564
Nostrin,0.0608
Rara,0.0617
Gabpa,0.068
Ifi204,0.0706
Prrx1,0.071
Tmpo,0.0725
Rps3,0.0727
Gtf2e2,0.0744
Men1,0.0746
Tgif1,0.0767
