GeneSymbol,PValue
Pef1,0.0
Nfkb1,0.0
Mrc2,0.0
Yipf7,0.0
Ptges2,0.0
Gpr65,0.0
Samsn1,0.0
Slc9a3r2,0.0
Aebp1,0.0
H2-Q7,0.0
Gm20559,0.0
Cd180,0.0
Runx1,0.0
Il21r,0.0
Rab18,0.0
Glipr1,0.0
Tcf3,0.0
Bod1,0.0
Slfn2,0.0
Akna,0.0
Cd37,0.0
Etv3,0.0
Rbm38,0.0
Naca,0.0
Myd88,0.0
Zfp110,0.0
Col6a1,0.0
Mta3,0.0
Hhex,0.0
Tmed10,0.0
Csk,0.0
Cyth4,0.0
Ifi35,0.0
Ppp1r11,0.0
Extl1,0.0
Cdk6,0.0
Irf9,0.0
Ip6k3,0.0
Sra1,0.0
Nrbp1,0.0
H2-M3,0.0
Kirrel,0.0
Igtp,0.0
Il17ra,0.0
Ghr,0.0
Ankrd1,0.0
Mbd3,0.0
Rxrg,0.0
Evi2a,0.0
Ikzf1,0.0
Cd40,0.0
Tbx20,0.0
Hrc,0.0
Fam26f,0.0
Tbx18,0.0
Gnb2,0.0
Ubl7,0.0
Casp8,0.0
Tnfaip8l2,0.0
Dapk3,0.0
Tcea3,0.0
Srgn,0.0
Ikbke,0.0
Arpc4,0.0
Ppp6r1,0.0
Esyt1,0.0
Ldb1,0.0
Dcaf12,0.0
Btk,0.0
Ncf4,0.0
Ets1,0.0
Mafg,0.0
Ptpn6,0.0
Nfe2l1,0.0
Ldb3,0.0
Lyn,0.0
Capn1,0.0
Atf5,0.0
Yif1b,0.0
Prdm2,0.0
Rbck1,0.0
Arid5a,0.0
Sec11a,0.0
Sgcg,0.0
Sash3,0.0
Stat6,0.0
Nckap1,0.0
Abra,0.0
Rcan2,0.0
Alox5ap,0.0
E2f4,0.0
Plekhj1,0.0
Exosc10,0.0
Twist1,0.0
Pparg,0.0
Cdc42bpb,0.0
Ckmt2,0.0
Ctnnb1,0.0
Safb2,0.0
Batf,0.0
Nfatc1,0.0
Eng,0.0
Apex1,0.0
Elf1,0.0
Drap1,0.0
Adar,0.0
H2-T24,0.0
Gimap1,0.0
Arhgap17,0.0
Stat1,0.0
Rac2,0.0
Ap2s1,0.0
Dock2,0.0
Kdelr3,0.0
Irf8,0.0
Psmb8,0.0
Sp100,0.0
Hltf,0.0
Tecrl,0.0
Cenpb,0.0
Nfkbie,0.0
Ttc7,0.0
AI467606,0.0
Nfatc4,0.0
Sp1,0.0
Plek,0.0
Cytip,0.0
Sbf1,0.0
Myh7b,0.0
Senp2,0.0
Bcar1,0.0
Pik3ap1,0.0
Mlf2,0.0
Ppp2ca,0.0
Irf5,0.0
Ppp2r1b,0.0
Fbrs,0.0
Col12a1,0.0
Naip2,0.0
Sgca,0.0
Wdfy4,0.0
Laptm5,0.0
Tnfrsf1b,0.0
Qk,0.0
Srebf2,0.0
Map1lc3a,0.0
Parp14,0.0
Myom2,0.0
Capzb,0.0
H2-K1,0.0
Nckap1l,0.0
Xaf1,0.0
Fli1,0.0
Erap1,0.0
Arhgef1,0.0
Ifi203,0.0
Pstpip1,0.0
Gsdmd,0.0
Hnrnpd,0.0
Nmi,0.0
Mrpl42,0.0
Rapsn,0.0
Arhgdib,0.0
Cd83,0.0
Sde2,0.0
Men1,0.0
Bgn,0.0
Coro1a,0.0
Ncln,0.0
Arhgap25,0.0
Ak1,0.0
Nfic,0.0
Sh3glb2,0.0
Suz12,0.0
Birc3,0.0
Crlf3,0.0
Lcp1,0.0
Gata6,0.0
Prrx1,0.0
Ucp2,0.0
Tmx1,0.0
Hand2,0.0
Lsp1,0.0
Fbxl6,0.0
Elk3,0.0
Hsf1,0.0
Smad3,0.0
Dok1,0.0
Cc2d1a,0.0
Asb5,0.0
Lcp2,0.0
Dnmt3a,0.0
Ifit3,0.0
Snai2,0.0
Rasal3,0.0
Cttn,0.0
Trim21,0.0
Il2rg,0.0
Klf2,0.0
Tmem204,0.0
Mybpc2,0.0
Foxp1,0.0
Hmg20b,0.0
Lyl1,0.0
Kank1,0.0
Gpsm3,0.0
Arhgap29,0.0
Gxylt2,0.0
Rbms2,0.0
Ly9,0.0
AI662270,0.0
Nr2f6,0.0
Cd52,0.0
Nat14,0.0
Tox4,0.0
Vps72,0.0
Zbp1,0.0
Mrpl51,0.0
Asb12,0.0
Lmo2,0.0
Ciita,0.0
Cd47,0.0
Dtx3l,0.0
Hcls1,0.0
Scand1,0.0
Tm4sf1,0.0
Tap2,0.0
Cxxc1,0.0
Tgfb1,0.0
Atp6v0a1,0.0
Lgals3,0.0
Zbtb42,0.0
Prrx2,0.0
Smad6,0.0
Scx,0.0
Ndn,0.0
Casp4,0.0
Il4ra,0.0
Fabp3,0.0
Tmem167,0.0
Pml,0.0
Ms4a4c,0.0
Osr1,0.0
Atxn1l,0.0
Ly6e,0.0
Irf7,0.0
Irf1,0.0
Ndufb2,0.0
Il10ra,0.0
Hspb3,0.0
S1pr1,0.0
Samd9l,0.0
Ctsc,0.0
Rara,0.0
Arhgap9,0.0
Hic1,0.0
Snx24,0.0
Trim16,0.0
Rps6kb2,0.0
Bag6,0.0
Cd53,0.0
Atf6b,0.0
Ms4a6b,0.0
Treml2,0.0
Ap1g2,0.0
Fgfr1,0.0
Ppp1r12b,0.0
Cyhr1,0.0
Tgfbr2,0.0
Acad11,0.0
Dennd1c,0.0
Was,0.0
Arhgap30,0.0
Casq1,0.0
Ptprc,0.0
Cd84,0.0
Gpc4,0.0
Fermt3,0.0
Nfya,0.0
Loxl1,0.0
Pik3r5,0.0
Itsn2,0.0
Ppp5c,0.0
Mark2,0.0
Runx3,0.0
Samhd1,0.0
Plin5,0.0
Lrmp,0.0
Man2b1,0.0
Map3k14,0.0
A630001G21Rik,0.0
Bsg,0.0
Tek,0.0
Lox,0.0
Hcst,0.0
Arf5,0.0
Psd4,0.0
Ltbr,0.0
Csf1,0.0
E2f6,0.0
Spats2,0.0
Cyp4f18,0.0
Parp9,0.0
Aes,0.0
Mmp14,0.0
Slfn8,0.0
Fgd3,0.0
Bcl3,0.0
Snai1,0.0
Scaf1,0.0
Ostf1,0.0
D17Wsu92e,0.0
Cd48,0.0
Tnf,0.0
Fosl2,0.0
Fkbp8,0.0
Dctn1,0.0
Gfm1,0.0
Rpl15,0.0
Pik3cg,0.0
Dlc1,0.0
Prr14,0.0
Mlycd,0.0
Trim30a,0.0
Clec4e,0.0
Vcl,0.0
Isca1,0.0
Dock10,0.0
Nfib,0.0
Hcfc1,0.0
Epsti1,0.0
Trim54,0.0
Zfpm1,0.0
Uba7,0.0
Nosip,0.0
Basp1,0.0
Asna1,0.0
Ifi47,0.0
Gbp3,0.0
Tnni3k,0.0
Glis2,0.0
Syk,0.0
Dock8,0.0
Nr1h2,0.0
Akt1,0.0
Gtf2b,0.0
Fgd2,0.0
Klf6,0.0
Phf12,0.0
Zeb2,0.0
Fbln2,0.0
Ppp2r3d,0.0
Pou2f2,0.0
Adcy7,0.0
Hes1,0.0
Itgb2,0.0
Mfn1,0.0
Csrnp1,0.0
Myo1g,0.0
Psme2,0.0
Zfp217,0.0
Tmem173,0.0
Apbb1ip,0.0
Tead3,0.0
Grap,0.0
Rorc,0.0
Myh10,0.0
Col5a1,0.0
Yap1,0.0
Ncf1,0.0
Smyd1,0.0
Ankrd23,0.0
Themis2,0.0
Pxn,0.0
Rhog,0.0
Taf13,0.0
Asb18,0.05
Chd4,0.05
Klf15,0.05
Tmeff1,0.05
Rbbp7,0.05
Hmgb1,0.05
Trim14,0.05
Tradd,0.05
Pdgfrl,0.05
Sdhc,0.05
Jph1,0.05
Atrx,0.05
Tspan4,0.05
Nr3c1,0.05
Itgb1bp2,0.05
Rbl1,0.05
Tspo,0.05
Crhr2,0.05
Gpbp1,0.05
Prrg3,0.05
Zhx1,0.05
Rest,0.05
Rilp,0.05
Man1b1,0.05
Mib1,0.05
Cbx1,0.05
Gtf2i,0.05
Trim34a,0.05
Hrasls,0.05
Nostrin,0.05
F2r,0.05
Pon3,0.05
Tmbim1,0.05
Dram1,0.05
Vrk1,0.05
Cav3,0.05
Mxra8,0.05
Mettl9,0.05
Shisa5,0.05
B4galt6,0.05
Podxl,0.05
Trpv2,0.05
Gstk1,0.05
Por,0.05
Mxd1,0.05
Rbmx,0.05
Rbmxl1,0.05
Map3k11,0.05
Tada3,0.05
Lrrc39,0.05
Ppp2r3a,0.05
Csrp3,0.05
Car14,0.05
Ppp1r18,0.05
Tmpo,0.05
Ehmt2,0.05
Mb,0.05
Ppara,0.05
Pgls,0.05
B230118H07Rik,0.05
Trim27,0.05
Fsd2,0.05
Dnajc28,0.05
Sgta,0.05
Relb,0.05
Dctn2,0.05
Pfn2,0.05
Acacb,0.05
Col1a1,0.05
Sparc,0.05
Klhdc2,0.05
Stk17b,0.05
Sirt7,0.05
Arid1a,0.05
Sfpq,0.05
Idh3a,0.05
Klhl6,0.05
Ltb,0.05
Col4a2,0.05
Zc3h8,0.05
Dlat,0.05
Mtf2,0.05
Taf6l,0.05
Alpk3,0.05
Ccdc102a,0.05
Slc47a1,0.1
Rps3,0.1
Kif11,0.1
Gja4,0.1
Atp5d,0.1
Cdc16,0.1
Stat5b,0.1
Tapbp,0.1
Amotl1,0.1
Adssl1,0.1
Cebpb,0.1
Hamp,0.1
Slc43a3,0.1
Sub1,0.1
Cxcl16,0.1
Bmp6,0.1
Fbln5,0.1
Ddx1,0.1
Slc6a8,0.1
Lima1,0.1
Edf1,0.1
Bclaf1,0.1
Scarf2,0.1
Pltp,0.1
Bola3,0.1
Hnrnpa1,0.1
Fem1a,0.1
Ssrp1,0.1
Nr1h3,0.1
Egr1,0.1
Eya2,0.1
Tax1bp3,0.1
Arhgef15,0.1
Tcf12,0.1
Gna12,0.1
Maged2,0.1
Cnpy3,0.1
Rnf6,0.1
Gab1,0.1
Caml,0.1
Dnajc2,0.1
Sdc2,0.1
Esrrg,0.1
Dcaf13,0.1
Ing1,0.1
Adam19,0.1
Clip1,0.1
Pcmt1,0.1
Ruvbl2,0.1
Arrb1,0.1
Tmbim6,0.15
Hlx,0.15
Fxr2,0.15
Rela,0.15
Polr3c,0.15
Ik,0.15
Eftud2,0.15
Purb,0.15
Dvl2,0.15
Lyz2,0.15
Fbln1,0.15
Tsc22d1,0.15
Mafb,0.15
Cd93,0.15
Pcid2,0.15
Pxmp2,0.15
Popdc2,0.15
Atf1,0.15
Slc30a4,0.15
Ncor2,0.15
Upf3b,0.15
Map3k8,0.15
Maz,0.15
Obscn,0.15
Nfyb,0.15
Yme1l1,0.15
Kank3,0.15
Rian,0.15
Arap3,0.15
Grhpr,0.15
Brms1l,0.15
Prkcd,0.15
Slfn5,0.15
Tbx5,0.15
Asns,0.15
Chordc1,0.15
Fam76b,0.15
E2f3,0.15
Gstm2,0.15
Cdc27,0.15
Cic,0.15
Gtf2f1,0.15
Erg,0.15
Ushbp1,0.15
Smn1,0.15
Pfn1,0.15
Pdk2,0.15
Slc4a2,0.15
Bmp4,0.2
Cxcl12,0.2
Vim,0.2
Mfap4,0.2
D10Jhu81e,0.2
Nedd9,0.2
Pfkfb4,0.2
Lrp10,0.2
Col4a1,0.2
App,0.2
Tnni3,0.2
Gabpa,0.2
