Source,Target
Phf5a,Fgf1
Phf5a,Kat2b
Phf5a,Mtus1
Phf5a,3110082I17Rik
Phf5a,Actl6a
Phf5a,Aimp1
Phf5a,Anln
Phf5a,Anp32b
Phf5a,Anp32e
Phf5a,Apex1
Phf5a,Arhgap11a
Phf5a,Aurka
Phf5a,Aurkb
Phf5a,Bms1
Phf5a,Bub1b
Phf5a,Bub3
Phf5a,C330027C09Rik
Phf5a,Cbx1
Phf5a,Ccdc34
Phf5a,Ccnb1
Phf5a,Ccne1
Phf5a,Ccne2
Phf5a,Cct2
Phf5a,Cct5
Phf5a,Cct6a
Phf5a,Cct7
Phf5a,Cdc123
Phf5a,Cdc45
Phf5a,Cdc6
Phf5a,Cdca2
Phf5a,Cdca4
Phf5a,Cdca5
Phf5a,Cdca7
Phf5a,Cdca8
Phf5a,Cdk4
Phf5a,Cdt1
Phf5a,Cenpe
Phf5a,Cenph
Phf5a,Cenpq
Phf5a,Chaf1b
Phf5a,Chchd4
Phf5a,Clns1a
Phf5a,Clspn
Phf5a,Cse1l
Phf5a,Dap3
Phf5a,Dcaf13
Phf5a,Dcp2
Phf5a,Ddx1
Phf5a,Ddx39
Phf5a,Dis3
Phf5a,Dkc1
Phf5a,Dlgap5
Phf5a,Dnajc9
Phf5a,Dnmt1
Phf5a,Dsn1
Phf5a,Dtymk
Phf5a,Dut
Phf5a,Eftud2
Phf5a,Eif3g
Phf5a,Ezh2
Phf5a,Farsb
Phf5a,Fbl
Phf5a,Fbxo5
Phf5a,Fignl1
Phf5a,Gar1
Phf5a,Gins1
Phf5a,Gmnn
Phf5a,Gnl3
Phf5a,Grwd1
Phf5a,H2afx
Phf5a,H2afz
Phf5a,Hat1
Phf5a,Hells
Phf5a,Hirip3
Phf5a,Hnrnpa1
Phf5a,Hnrnpm
Phf5a,Ilf3
Phf5a,Impdh2
Phf5a,Kars
Phf5a,Kif22
Phf5a,Kif4
Phf5a,Kifc5b
Phf5a,Kpna2
Phf5a,Larp7
Phf5a,Lig1
Phf5a,Lyar
Phf5a,Mad2l1
Phf5a,Mak16
Phf5a,Mcm2
Phf5a,Mcm3
Phf5a,Mcm4
