pathway,nums,percent,pvalue,,
Spliceosome,99,97.06,0,,
DNA replication,33,100,0,,
Mismatch repair,22,100,0,,
Ribosome biogenesis in eukaryotes,52,92.86,0,,
Nuclear pore complex,26,86.67,0,,
Base excision repair,29,87.88,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",19,90.48,0,,
Homologous recombination,29,93.55,0,,
Polycomb repressive complex,61,96.83,0,,
RNA degradation,38,82.61,0,,
mRNA surveillance pathway,59,88.06,0,,
Ribosome,86,86,0,,
"Ribosome, eukaryotes",61,92.42,0,,
BRCA1-associated genome surveillance complex (BASC),15,100,0,,
"Spliceosome, 35S U5-snRNP",24,92.31,0,,
RNA polymerase,20,90.91,0,,
"Spliceosome, U2-snRNP",18,94.74,0,,
Nucleocytoplasmic transport,79,95.18,0.0001,,
Coronavirus disease - COVID-19,100,85.47,0.0001,,
Cell cycle,127,97.69,0.0002,,
RNA transport,112,97.39,0.0004,,
Nucleotide excision repair,37,88.1,0.0008,,
Fanconi anemia pathway,28,87.5,0.0015,,
"Spliceosome, U1-snRNP",8,88.89,0.002,,
Herpes simplex infection,87,92.55,0.0028,,
Exon junction complex (EJC),13,81.25,0.0028,,
Sm core complex,7,100,0.0032,,
MCM complex,6,100,0.0049,,
RF-C complex,5,100,0.009,,
"RNA polymerase I, eukaryotes",7,100,0.0087,,
FA core complex,6,100,0.0088,,
"RNA polymerase II, eukaryotes",6,100,0.009,,
Cell cycle - G2/M transition,7,100,0.011,,
Cytochrome bc1 complex,4,57.14,0.0109,,
Glycolysis / Gluconeogenesis,13,41.94,0.0169,,
DNA damage-induced cell cycle checkpoints,7,100,0.0172,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0232,,
"RNA polymerase III, eukaryotes",11,100,0.0238,,
Non-homologous end-joining,6,100,0.0305,,
"Exosome, eukaryotes",6,100,0.0303,,
Systemic lupus erythematosus,8,66.67,0.0595,,
Shelterin complex,5,100,0.0687,,
Methionine degradation,6,100,0.0752,,
Basal transcription factors,33,84.62,0.1824,,
Viral life cycle - HIV-1,25,73.53,0.1882,,
Arginine and proline metabolism,10,37.04,0.2469,,
Cytosolic DNA-sensing pathway,30,93.75,0.2446,,
Methionine salvage pathway,4,80,0.2426,,
Origin recognition complex,6,100,0.2488,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",11,100,0.2529,,
Antifolate resistance,11,73.33,0.2638,,
One carbon pool by folate,10,76.92,0.2801,,
Chemical carcinogenesis - receptor activation,85,83.33,0.2879,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.293,,
TREX complex,8,100,0.2955,,
Purine metabolism,90,93.75,0.3233,,
Tyrosine metabolism,17,100,0.3195,,
BMP signaling,7,63.64,0.3182,,
Thyroid cancer,11,52.38,0.3249,,
Phenylalanine metabolism,10,100,0.334,,
Primary immunodeficiency,5,71.43,0.3928,,
Progesterone-mediated oocyte maturation,57,85.07,0.4501,,
"Glycolysis, core module involving three-carbon compounds",6,100,0.4445,,
Nicotine addiction,3,60,0.4437,,
Platinum drug resistance,42,72.41,0.4416,,
Phosphatidylinositol signaling system,30,52.63,0.4631,,
Oocyte meiosis,67,85.9,0.4753,,
Pyrimidine metabolism,64,90.14,0.48,,
Transcriptional misregulation in cancer,87,94.57,0.4804,,
Triacylglycerol biosynthesis,9,100,0.5233,,
Prion diseases,10,47.62,0.572,,
Inositol phosphate metabolism,28,60.87,0.5685,,
Nitrogen metabolism,5,83.33,0.5826,,
Fructose and mannose metabolism,5,27.78,0.5982,,
Proximal tubule bicarbonate reclamation,8,57.14,0.6001,,
Arrhythmogenic right ventricular cardiomyopathy,18,46.15,0.6952,,
"Gluconeogenesis, oxaloacetate => fructose-6P",8,100,0.7312,,
Signaling pathways regulating pluripotency of stem cells,69,87.34,0.7523,,
Holo-TFIIH complex,10,100,0.7591,,
Glutathione metabolism,29,72.5,0.7534,,
"C1-unit interconversion, eukaryotes",5,83.33,0.7515,,
Bladder cancer,17,70.83,0.7808,,
Chemical carcinogenesis - reactive oxygen species,73,59.84,0.7728,,
Glycerolipid metabolism,16,64,0.7783,,
Arrhythmogenic right ventricular cardiomyopathy (ARVC),17,44.74,0.7704,,
BER complex,8,100,0.7627,,
IL-17 signaling pathway,25,62.5,0.7799,,
Citrate cycle (TCA cycle),21,100,0.7716,,
Cysteine and methionine metabolism,23,82.14,0.7944,,
ABC transporters,7,43.75,0.8054,,
Glyoxylate and dicarboxylate metabolism,12,60,0.8244,,
Endometrial cancer,20,58.82,0.8366,,
"Alanine, aspartate and glutamate metabolism",15,65.22,0.8342,,
Selenocompound metabolism,11,100,0.849,,
African trypanosomiasis,14,100,0.8445,,
RIG-I-like receptor signaling pathway,19,61.29,0.8433,,
beta-Alanine metabolism,4,21.05,0.8869,,
Basal cell carcinoma,13,54.17,0.8894,,
Drug metabolism - other enzymes,28,70,0.8844,,
Activin signaling,6,100,0.9159,,
Breast cancer,60,83.33,0.9159,,
Legionellosis,15,62.5,0.9363,,
APC/C complex,7,58.33,0.9674,,
Biosynthesis of amino acids,25,59.52,0.9647,,
Metabolism of xenobiotics by cytochrome P450,11,42.31,0.9715,,
Sulfur metabolism,5,55.56,0.9697,,
Chemical carcinogenesis - DNA adducts,9,45,1,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,6,100,1,,
Carbon metabolism,36,52.94,1,,
Prostate cancer,53,88.33,1,,
Colorectal cancer,37,66.07,1,,
Hepatocellular carcinoma,89,88.12,1,,
Folate biosynthesis,11,100,1,,
Thyroid hormone signaling pathway,58,79.45,1,,
THC complex,5,100,1,,
NOD-like receptor signaling pathway,70,73.68,1,,
Retinol metabolism,3,30,0.9994,,
Cell cycle - G1/S transition,12,100,0.9912,,
Survival motor neuron (SMN) complex,7,87.5,0.9875,,
Gastric cancer,56,77.78,0.9862,,
Central carbon metabolism in cancer,22,52.38,0.988,,
Lipoic acid metabolism,11,100,0.9913,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,0.9886,,
Fat digestion and absorption,12,100,0.995,,
Amyotrophic lateral sclerosis (ALS),23,74.19,1,,
Longevity regulating pathway - multiple species,20,51.28,0.9959,,
Amphetamine addiction,20,55.56,0.9884,,
2-Oxocarboxylic acid metabolism,20,100,0.984,,
Arginine biosynthesis,9,100,0.9815,,
Glucagon signaling pathway,38,74.51,0.9819,,
ECM-receptor interaction,12,27.91,0.9794,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",19,76,0.9828,,
Histidine metabolism,11,100,0.9825,,
Mineral absorption,6,42.86,0.9821,,
Peroxisome,24,60,0.9754,,
Antigen processing and presentation,16,66.67,0.9694,,
Drug metabolism - cytochrome P450,9,39.13,0.9659,,
Aminoacyl-tRNA biosynthesis,23,79.31,0.9623,,
N-glycan precursor biosynthesis,5,71.43,0.9591,,
Amyotrophic lateral sclerosis,156,80.83,0.954,,
Acute myeloid leukemia,29,72.5,0.9523,,
Huntington's disease,80,74.07,0.9457,,
Notch signaling pathway,22,66.67,0.9653,,
"Glycine, serine and threonine metabolism",13,65,0.9679,,
"Coenzyme A biosynthesis, pantothenate => CoA",5,100,0.9666,,
Nucleotide metabolism,39,82.98,0.9629,,
Pentose phosphate pathway,13,100,0.9585,,
ErbB signaling pathway,25,49.02,0.9601,,
Mucin type O-glycan biosynthesis,5,41.67,0.97,,
"O-glycan biosynthesis, mucin type core",5,50,0.9793,,
Pyruvate metabolism,13,44.83,0.9771,,
eIF4F complex,7,100,0.9713,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.9653,,
Hippo signaling,12,100,0.9701,,
Chronic myeloid leukemia,46,85.19,0.9642,,
ATP-dependent chromatin remodeling,68,98.55,0.9593,,
Leishmaniasis,21,65.62,0.9862,,
Fluid shear stress and atherosclerosis,52,62.65,0.9961,,
Lipid and atherosclerosis,74,74.75,0.9999,,
Th17 cell differentiation,35,71.43,1,,
Protein processing in endoplasmic reticulum,33,36.67,0.9993,,
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",1,12.5,NA,,
