pathway,nums,percent,pvalue,,
Spliceosome,97,95.1,0,,
DNA replication,33,100,0,,
Ribosome biogenesis in eukaryotes,50,89.29,0,,
Nuclear pore complex,25,83.33,0,,
Mismatch repair,22,100,0,,
Base excision repair,30,90.91,0,,
mRNA surveillance pathway,60,89.55,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",18,85.71,0,,
Ribosome,85,85,0,,
Polycomb repressive complex,60,95.24,0,,
Homologous recombination,29,93.55,0,,
"Ribosome, eukaryotes",62,93.94,0,,
RNA polymerase,17,77.27,0,,
"Spliceosome, U2-snRNP",18,94.74,0,,
"Spliceosome, 35S U5-snRNP",22,84.62,0,,
Coronavirus disease - COVID-19,90,76.92,0,,
RNA degradation,34,73.91,0,,
BRCA1-associated genome surveillance complex (BASC),15,100,0,,
Nucleocytoplasmic transport,79,95.18,0,,
Cell cycle,128,98.46,0.0001,,
RNA transport,109,94.78,0.0002,,
Nucleotide excision repair,35,83.33,0.001,,
"Spliceosome, U1-snRNP",8,88.89,0.0024,,
Fanconi anemia pathway,27,84.38,0.0024,,
MCM complex,6,100,0.0037,,
Herpes simplex infection,84,89.36,0.0054,,
Sm core complex,7,100,0.0057,,
RF-C complex,5,100,0.0067,,
Exon junction complex (EJC),12,75,0.0066,,
"RNA polymerase I, eukaryotes",7,100,0.0067,,
FA core complex,6,100,0.0086,,
Cell cycle - G2/M transition,7,100,0.0133,,
"RNA polymerase II, eukaryotes",6,100,0.014,,
Mitophagy - animal,13,30.23,0.0141,,
"RNA polymerase III, eukaryotes",10,90.91,0.0205,,
DNA damage-induced cell cycle checkpoints,7,100,0.0243,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0253,,
"Exosome, eukaryotes",6,100,0.0329,,
Non-homologous end-joining,6,100,0.0363,,
Phosphatidylinositol signaling system,17,29.82,0.0357,,
APC/C complex,4,33.33,0.0356,,
Glycolysis / Gluconeogenesis,31,100,0.0438,,
Cytosolic DNA-sensing pathway,20,62.5,0.0579,,
Adherens junction,15,23.08,0.0611,,
Renal cell carcinoma,4,9.52,0.0713,,
Basal transcription factors,24,61.54,0.0703,,
Shelterin complex,5,100,0.0906,,
"Alanine, aspartate and glutamate metabolism",10,43.48,0.097,,
"Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol",3,60,0.1214,,
Drug metabolism - cytochrome P450,23,100,0.1418,,
Wnt signaling,5,38.46,0.144,,
Pyruvate metabolism,29,100,0.1537,,
Systemic lupus erythematosus,8,66.67,0.1697,,
Viral life cycle - HIV-1,22,64.71,0.1681,,
Oocyte meiosis,61,78.21,0.1655,,
Colorectal cancer,15,26.79,0.2057,,
Methionine degradation,4,66.67,0.2189,,
One carbon pool by folate,9,69.23,0.219,,
Origin recognition complex,6,100,0.2228,,
Inositol phosphate metabolism,17,36.96,0.2233,,
Cholesterol metabolism,4,21.05,0.22,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",11,100,0.223,,
African trypanosomiasis,2,14.29,0.226,,
Endometrial cancer,8,23.53,0.2514,,
Metabolism of xenobiotics by cytochrome P450,26,100,0.2608,,
Progesterone-mediated oocyte maturation,53,79.1,0.2649,,
TREX complex,8,100,0.2786,,
Sulfur metabolism,3,33.33,0.2749,,
Antifolate resistance,10,66.67,0.2764,,
Purine metabolism,89,92.71,0.2746,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.2944,,
Tyrosine metabolism,17,100,0.3006,,
Phenylalanine metabolism,10,100,0.3156,,
Thyroid cancer,7,33.33,0.3125,,
Primary immunodeficiency,5,71.43,0.3403,,
Hepatitis C,41,50,0.3419,,
Glucagon signaling pathway,11,21.57,0.3516,,
Chemical carcinogenesis - receptor activation,59,57.84,0.3499,,
Pyrimidine metabolism,63,88.73,0.4005,,
Fructose and mannose metabolism,18,100,0.4268,,
Transcriptional misregulation in cancer,77,83.7,0.4315,,
Arginine and proline metabolism,6,22.22,0.4311,,
NOD-like receptor signaling pathway,20,21.05,0.4404,,
Longevity regulating pathway - multiple species,9,23.08,0.4562,,
Amyotrophic lateral sclerosis (ALS),9,29.03,0.489,,
Central carbon metabolism in cancer,6,14.29,0.5096,,
Triacylglycerol biosynthesis,9,100,0.5219,,
Bladder cancer,15,62.5,0.5664,,
Nitrogen metabolism,6,100,0.5603,,
"Gluconeogenesis, oxaloacetate => fructose-6P",8,100,0.6778,,
Amyotrophic lateral sclerosis,141,73.06,0.6832,,
Thyroid hormone signaling pathway,31,42.47,0.7061,,
"C1-unit interconversion, eukaryotes",5,83.33,0.7331,,
Longevity regulating pathway,13,23.64,0.7565,,
BER complex,8,100,0.764,,
Citrate cycle (TCA cycle),21,100,0.7817,,
Glutathione metabolism,21,52.5,0.7781,,
Breast cancer,51,70.83,0.799,,
IL-17 signaling pathway,11,27.5,0.8292,,
Glycerolipid metabolism,25,100,0.8238,,
Cysteine and methionine metabolism,18,64.29,0.8261,,
Notch signaling pathway,17,51.52,0.8421,,
Platinum drug resistance,32,55.17,0.8431,,
Chemical carcinogenesis - reactive oxygen species,25,20.49,0.8372,,
Prostate cancer,46,76.67,0.8606,,
Carbon metabolism,35,51.47,0.8618,,
Selenocompound metabolism,11,100,0.8735,,
Hippo signaling pathway,32,37.21,0.8657,,
Drug metabolism - other enzymes,24,60,0.8614,,
Aminoacyl-tRNA biosynthesis,21,72.41,0.8764,,
Neutrophil extracellular trap formation,32,56.14,0.8959,,
FoxO signaling pathway,44,57.89,0.8962,,
Activin signaling,6,100,0.8949,,
Signaling pathways regulating pluripotency of stem cells,57,72.15,0.8892,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",18,72,0.8866,,
mTOR signaling pathway,41,53.25,0.8926,,
Tight junction,20,20.62,0.8852,,
beta-Alanine metabolism,19,100,0.8869,,
Huntington's disease,61,56.48,0.9116,,
Propanoate metabolism,24,100,0.9338,,
Methionine salvage pathway,5,100,0.9358,,
Biosynthesis of amino acids,23,54.76,0.9282,,
Retinol metabolism,4,40,0.9307,,
Gastric cancer,50,69.44,0.9398,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,6,100,0.9924,,
Hepatocellular carcinoma,73,72.28,1,,
Amphetamine addiction,17,47.22,1,,
Folate biosynthesis,11,100,1,,
THC complex,5,100,1,,
Alcoholic liver disease,15,21.13,1,,
Legionellosis,24,100,1,,
Survival motor neuron (SMN) complex,7,87.5,0.9997,,
RIG-I-like receptor signaling pathway,31,100,1,,
Lipoic acid metabolism,11,100,0.998,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,0.9909,,
Fat digestion and absorption,12,100,1,,
Small cell lung cancer,42,65.62,1,,
Phagosome,12,21.43,1,,
2-Oxocarboxylic acid metabolism,20,100,1,,
Choline metabolism in cancer,6,10.34,1,,
Cell cycle - G1/S transition,11,91.67,0.9999,,
Arginine biosynthesis,9,100,1,,
Arachidonic acid metabolism,6,26.09,0.9999,,
Glutamatergic synapse,8,16.67,0.9967,,
NF-kappa B signaling pathway,16,30.19,1,,
Histidine metabolism,11,100,1,,
Mineral absorption,6,42.86,0.9955,,
Cytochrome bc1 complex,7,100,0.9909,,
Peroxisome,8,20,0.9854,,
Basal cell carcinoma,12,50,0.9866,,
Antigen processing and presentation,15,62.5,0.9963,,
Apoptosis,43,51.81,1,,
Ubiquitin mediated proteolysis,66,75,1,,
Nucleotide metabolism,38,80.85,1,,
"Glycine, serine and threonine metabolism",13,65,0.9959,,
Acute myeloid leukemia,40,100,0.9989,,
Glyoxylate and dicarboxylate metabolism,9,45,0.998,,
Pentose phosphate pathway,13,100,0.9934,,
AMPK signaling pathway,17,25.37,0.9896,,
ATP-dependent chromatin remodeling,61,88.41,0.9885,,
HTLV-I infection,131,87.33,1,,
Sphingolipid signaling pathway,9,11.39,0.9978,,
Cortisol synthesis and secretion,9,32.14,0.9932,,
eIF4F complex,7,100,0.9964,,
Salmonella infection,47,31.76,0.9919,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.9872,,
"Parathyroid hormone synthesis, secretion and action",16,27.59,0.9815,,
Hippo signaling,12,100,0.9838,,
Chronic myeloid leukemia,38,70.37,0.9791,,
ECM-receptor interaction,7,16.28,0.9849,,
Herpes simplex virus 1 infection,130,86.09,0.9799,,
Leishmaniasis,32,100,0.9812,,
N-glycan precursor biosynthesis,3,42.86,0.985,,
Fluid shear stress and atherosclerosis,21,25.3,0.9894,,
Lipid and atherosclerosis,47,47.47,0.9871,,
Protein processing in endoplasmic reticulum,12,13.33,1,,
Th17 cell differentiation,21,42.86,1,,
JAK-STAT signaling pathway,28,46.67,1,,
Jak-STAT signaling pathway,28,49.12,0.9959,,
"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",1,20,NA,,
Vitamin digestion and absorption,1,10,NA,,
